# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# S1 — THE HORIZON-ALIGNMENT PASS.  The champion's TARGET is retg|e30|SESS_CLOSE (m3_matrix.py:37,1445) while the replay CASHES AT PHASE CLOSE (m3_walk.py:218-219, m2_delay.py:239).  This table prices the object at the three exit horizons the mismatch spans, with the entries, the schedule and the $900 wall unchanged.
# THE WALL STAYS LIVE THROUGH THE EXTENDED HOLD: a leg whose adverse skeleton reaches $900 at or before the horizon pays -900 - cost at the wall second (m2_delay._close_cert, imported).
# SAME SESSION ONLY: SESS = s.n - 1, the roster's own sess_close_sec (c_c_roster.py:294).  No overnight hold exists in this table.
# RED FIRST: the PHASE column reproduces the committed matrix certificate/exit/wall EXACTLY and its replay reproduces m3_walk.replay_rows seat-for-seat (verify.receipt.json).
# ARM = the deployed folded members (FOLD_<era>_<seed>: per-era strictness k, W_VOLMATCH, monotone, promoted HP) with the adopted FIRST-WALL STOP.  5 seeds, mean +/- sd.  PROMOTION = delta_minus_sd > 0 against the PHASE incumbent on the same days.
# TREND_T3 / TREND_T10 = days whose DAY-START forecaster call (fc_p_expansion at the day's first anchor) sits in the top third / top decile of the TRAINING BLOCK's day-start distribution.  The threshold uses strictly prior eras only.
# aim_08ceiling = 0.80 x the horizon's own foresight ceiling; ceiling_supports_floor = the ceiling can carry the $2,000 floor at 0.8 capture.
era	criterion	asset	day_set	trend_thr	horizon	n_sessions	n_seeds	armed_mean	armed_sd	raw_mean	raw_sd	seats_per_session	foresight_ceiling	armed_capture	aim_08ceiling	gap_to_aim	ceiling_supports_floor	gap_to_floor_2000	delta_vs_phase	delta_minus_sd	promotes
E5	BINDING	ALL	ALL_DAYS		PHASE	387	5	1126.45	26.59	1225.64	21.42	2.717	2582.61	0.4362	2066.09	-939.64	1	-873.55	0.0	-26.59	no
E5	BINDING	ALL	ALL_DAYS		NEXT	387	5	876.27	22.22	943.44	19.88	1.834	2225.06	0.3938	1780.05	-903.78	0	-1123.73	-250.18	-272.39	no
E5	BINDING	ALL	ALL_DAYS		SESS	387	5	413.19	9.47	485.89	11.68	1.0	1466.56	0.2817	1173.25	-760.06	0	-1586.81	-713.26	-722.73	no
E5	BINDING	SI	ALL_DAYS		PHASE	129	5	1136.61	29.39	1334.46	25.9	2.574	2950.41	0.3852	2360.33	-1223.72	1	-863.39	0.0	-29.39	no
E5	BINDING	SI	ALL_DAYS		NEXT	129	5	864.81	29.04	999.98	27.62	1.75	2546.78	0.3396	2037.43	-1172.61	1	-1135.19	-271.79	-300.83	no
E5	BINDING	SI	ALL_DAYS		SESS	129	5	236.09	9.96	394.97	27.0	1.0	1565.54	0.1508	1252.43	-1016.35	0	-1763.91	-900.52	-910.48	no
E5	BINDING	HG	ALL_DAYS		PHASE	129	5	911.12	22.73	939.72	21.13	2.853	1929.28	0.4723	1543.43	-632.3	0	-1088.88	0.0	-22.73	no
E5	BINDING	HG	ALL_DAYS		NEXT	129	5	675.84	22.59	700.74	21.11	1.893	1638.21	0.4125	1310.57	-634.73	0	-1324.16	-235.29	-257.88	no
E5	BINDING	HG	ALL_DAYS		SESS	129	5	324.98	11.14	349.42	10.72	1.0	1109.87	0.2928	887.9	-562.92	0	-1675.02	-586.14	-597.28	no
E5	BINDING	NKD	ALL_DAYS		PHASE	129	5	1331.61	29.91	1402.73	25.14	2.724	2868.14	0.4643	2294.51	-962.9	1	-668.39	0.0	-29.91	no
