proposition_id	status	statement	inference_scope	primary_source	evidence_ids	notes
P0001	ACTIVE	The deployable goal is mean net greater than 2000 dollars per official session with zero-inclusive EOD MDD below 1000 dollars under the registered evaluator.	project_contract	PROJECT_CONTRACT.md	E_CONTRACT_V1	1600 dollars is diagnostic only
P0002	ACTIVE	LOW maps to LONG and HIGH maps to SHORT; side requires a causal member/event authority.	all_causal_science	PROJECT_CONTRACT.md	E_CAUSAL_CLOCK_SIDE_V1	Final matrix or cluster selection is not a substitute
P0003	ACTIVE	Strict-prior excludes equal timestamps; equal-time rows are unordered and reduced invariantly.	all_causal_science	PROJECT_MEMORY.md	E_CAUSAL_CLOCK_SIDE_V1	Every derived dependency inherits its clock mask
P0004	ACTIVE	Approximately 0.999 AUC was achieved only by deliberate future-outcome leakage controls and proves plumbing/capacity, not causal alpha.	leakage_control_only	docs/EXPERIMENT_AND_FAILURE_HISTORY.md	E_LEAK10_F4;E_LEAK10_F5	F4 approximately 0.99812 and F5 approximately 0.99923 after 10 epochs
P0005	ACTIVE	Hindsight certificate and delayed-entry results establish opportunity ceilings but not causal observability or deployability.	hindsight_diagnostics	docs/EXPERIMENT_AND_FAILURE_HISTORY.md	E_DELAYED_CERTIFICATE_V1	Delayed nonzero lags violate the literal zero-breach law
P0006	ACTIVE	Aggregate or marginal nulls do not close native ordered or conditional-interaction hypotheses.	exact_tested_object_only	PROJECT_MEMORY.md	E_PROXY_SCOPE_LAW_V1	Representation scope must be explicit
P0007	ACTIVE	No lawful native-order causal learnability fit had run at clean-room creation.	project_status	INDEX.md	E_CLEANROOM_STATUS_V1	Empirical readiness above 90 percent is not established
P0008	ACTIVE	The latest Rust adapter V2 is rejected before payload because wrong-civil-day quote timestamps abort instead of becoming typed invalid dependencies.	reader_v2_only	authorities/REGISTRY.tsv	E_ADAPTER_V2_REFUTED	Original prior adapter P0s were otherwise closed
P0009	UNTESTED	Native order, persistence, phase and conditional cross-modal interaction may explain value lost by aggregates.	native_representation_family	docs/HYPOTHESIS_ATLAS.md	E_NATIVE_FORMULATION_V1	Requires Gate 1 and Gate 2
P0010	UNTESTED	A dynamic ENTER/WAIT/PASS policy may preserve value while controlling opportunity loss and risk.	dynamic_policy_family	docs/HYPOTHESIS_ATLAS.md	E_DYNAMIC_POLICY_SPEC_V1	Requires fixed causal targets and replay
