ts	phase	decision	why	evidence	result
2026-08-26T07:29:54Z	frame	Hillclimb metric frozen. Intermediate is validation ENTER-min rate. Stop is a real THRESHOLD block clearing HG 2000 NKD 1500 SI 1500, MDD under 1000, at most 12 entries. Floor is three head-family attempts.	User authorized the refit. Full rehearsal is hours. Minutes path is one FROZEN_Q3_E8 fold on stored matrices, then replay only if ENTER shows.	.audit/refit_e1r_action_head.py; .audit/assert_threshold_replay_receipt.py	open
2026-08-26T07:30:18Z	harness	Frozen MultiRMSE baseline. Val ENTER-min 0 of 2451 against 16.6% labels. Score-range ENTER-min 0 of 14165. Train 25 of 4911.	Harness is sensitive. The frozen head is zero on the chronology that scores THRESHOLD.	python3 .audit/refit_e1r_action_head.py --baseline	baseline recorded
2026-08-26T07:33:11Z	attempt	H1 MultiClass rejected for the keep bar. Val ENTER-min 30 of 2451 (1.22%) against 16.6% labels. Score-range 127 of 14165 (0.90%). Frozen was 0 and 0.	Classification moved ENTER off zero. Half the label rate was 8.3%. Not enough to keep. Pivot to PairLogit.	.audit/threshold-refit-h1-multiclass.json	reverted
2026-08-26T07:40:55Z	attempt	H2 PairLogit rejected for the keep bar. Val ENTER-min 0 of 2451 against 16.6% labels. Score-range 0 of 14165. Train 31 of 4911.	Pairwise ranking still never prefers ENTER on the chronology that scores THRESHOLD. Worse than MultiClass on val. Pivot to class-balanced MultiClass.	.audit/threshold-refit-h2-pairwise.json	reverted
2026-08-26T07:46:00Z	attempt	H3 MultiClass enter-balance kept. Val ENTER-min 702 of 2451 (28.6%) against 16.6% labels. Score-range 3659 of 14165 (25.8%). Scale 29.50.	Train ENTER is 3.28%, so unweighted MultiClass logloss is mostly DEFER and PASS. Inverse-frequency weight on ENTER cleared the keep bar. Next is THRESHOLD RAW dollars.	.audit/threshold-refit-h3-enter-balance.json	kept
2026-08-26T09:05:41Z	attempt	H3 THRESHOLD RAW produced 142 trades and 227.50 usd. HG 688 NKD -246 SI -425 per asset-day. MDD 9755. Max 12 entries. Rungs not cleared.	The head ENTERs on the walk. Class-balance 29.50 fills the 12-cap and loses on NKD and SI. Next is a milder ENTER weight on the same fold, not a new family.	.audit/threshold-refit-h3-replay.json	reverted
2026-08-26T09:07:21Z	attempt	H3 THRESHOLD RAW measured 142 trades and 227.50 dollars total. Every dollar and drawdown rung failed.	The balanced ENTER head fills the daily cap but loses on NKD and SI. More entries cannot repair dollars per trade.	.audit/threshold-refit-h3-replay.json; artifacts/cache/threshold_refit/replay/H3_raw_THRESHOLD/real/seed_20260820/raw_block.json	kept H3 head; clears_rungs=false
2026-08-26T09:09:10Z	attempt	H4 MultiClass sqrt-balance ENTER weight rejected. Val ENTER-min 173 of 2451 (7.06%) against 16.65% labels. Scale 5.431676.	The frozen keep bar was 204 of 2451 (8.32%). The milder head fell 31 rows short, so THRESHOLD RAW replay was not warranted.	.audit/threshold-refit-h4-mild-enter.json	reverted
2026-08-26T09:16:28Z	attempt	H5 unweighted MultiClass on official E1R FIT and PLATT kept. PLATT ENTER-min was 102 of 2425, 4.21%, against 199 labels, 8.21%.	The keep bar was half the PLATT label rate, 4.10%. H5 cleared it by two predicted ENTER rows, so THRESHOLD RAW replay is required.	.audit/threshold-refit-h5-official-e1r.json	kept
2026-08-26T09:41:40Z	attempt	H5 THRESHOLD RAW produced 31 trades and 426.25 dollars total. HG was 105.29, NKD 23.27, and SI -95.77 dollars per asset-day. MDD was 2050. Max entries were 3.	The official FIT and PLATT head passed the ENTER keep bar, but its sparse THRESHOLD entries missed every dollar rung and the drawdown limit.	.audit/threshold-refit-h5-replay.json; artifacts/cache/threshold_refit/replay/H5_raw_THRESHOLD/real/seed_20260820/raw_block.json	kept H5 head; clears_rungs=false
