case0001	SKIP	C	giveback 29bp vs 15.8bp runway; no |z|>3 agreement
case0002	SKIP	C	66bp box, runway 10.9bp, depth 1.3z thick
case0003	SKIP	C	giveback 40bp vs 13.6bp runway; chop
case0004	SKIP	C	runway 22.9bp, depth z+2.63 no-travel, box day
case0005	SKIP	C	1014s confirm lag, runway 14.7bp, chop
case0006	SKIP	C	giveback 47bp vs 12bp runway; box day
case0007	SKIP	C	absorption 0.000 z-0.96, depth 1.8x, proxy_vol -0.039/60m; runway 24.6bp
case0008	SKIP	C	runway 8.7bp, tape lifting offers against the short
case0009	SKIP	C	1122s confirm lag, giveback 29bp vs 22.9bp runway
case0010	SKIP	C	midday dead tape 150 prints/min, giveback 28bp vs 12bp runway
case0011	SKIP	C	depth z+4.44 thick, 129 prints/min dead midday, runway 25.7bp
case0012	SKIP	C	runway 3.8bp, depth z+6.06
case0013	SKIP	C	late 15:07, 396k net buying with 0.00bp travel, depth z+3.48
case0014	SKIP	C	phase .90, 36m left, runway 13.1bp
case0015	SKIP	C	95k net buying absorbed for +2.5bp, depth 3.1x; first magnet 24.7bp
case0016	SKIP	C	only magnet 13.7bp day low; 70bp needs new-range extension
case0017	SKIP	C	giveback 35bp vs 17bp runway; opt delta -2.9z against +10z stock
case0018	SKIP	C	giveback 19bp vs 11.5bp runway; depth 3.65x
case0019	SKIP	C	runway 38bp with flow z+0.8, urgency z-1.9; no stream agreement
case0020	SKIP	C	runway 3.3bp at day low, absorption z-0.4 into depth 2.5x
case0021	SKIP	C	depth z+4.2, runway 16.5bp, giveback 25bp
case0022	SKIP	C	range 0.91 ATR spent, runway 11.5bp, giveback 31bp
case0023	SKIP	C	15:30 with 30m left, depth 5.4x norm, runway 27.5bp
case0024	SKIP	C	8m to close
case0025	SKIP	C	range 0.98 ATR by 10:08, flow z+0.5 buying against the short
case0026	SKIP	C	runway 9.8bp under prior high; absorption z-0.90
case0027	SKIP	C	absorption z-0.77 into depth 2.35x, first magnet 28bp
case0028	SKIP	C	absorption 0.000, 3M-share print contaminating flow, runway 23bp
case0029	SKIP	C	depth z+5.12 thickening, 170 prints/min, runway 16.4bp
case0030	SKIP	C	dead tape 149 prints/min, depth 3.7x, giveback 26bp vs 27.9bp
case0031	SKIP	C	opt delta +3.2z/gamma +11.9z buying against the short; runway 2.2bp
case0032	SKIP	C	long into 14:00 event with flow z-1.5 and urgency z-2.4; giveback 29bp
case0033	SKIP	C	61bp giveback into the FOMC break, entry at day low, impulse already bouncing
case0034	SKIP	C	post-FOMC bounce long, objective only 30bp to open; 0DTE 56pct
case0035	SKIP	C	entry 8bp above the LH being faded, pivot invalidated; newer HL printed
case0036	SKIP	C	giveback 27bp vs 23.4bp runway, absorption 0.004 on 32k buying
case0037	SKIP	C	giveback 32bp vs 8.8bp runway
case0038	SKIP	C	objective 18bp to open; whipsaw structure 4 pivots in 10min
case0039	SKIP	C	flow z+2.3 buying against the short; giveback 19bp
case0040	SKIP	C	runway 1.1bp under open, flow z-1.0 against the long
case0041	TAKE	B	cap-ok 79m; stock -12.3z with opt delta -12.5z/gamma -31z, depth z-2.3 thin, impulse building; 56bp to triple-low
case0042	SKIP	C	counter-trend long, runway 4.9bp to open, gamma z-4.5
case0043	SKIP	C	giveback 42bp vs 7.2bp runway; already short this leg
case0044	SKIP	C	long into -240k/-37bp selloff, flow z-4.55 against
case0045	SKIP	C	flow flipped to +1.8z buying against the short; no cross-stream agreement
case0046	SKIP	C	counter-trend long inside a -70bp leg, 34m left, flow flat
case0047	SKIP	C	phase .93 with 27m left and 42bp already given back; room to the bell ~40bp
case0048	SKIP	C	10m to close, width 10bp, block-contaminated flow
case0049	SKIP	C	3m to close
case0050	SKIP	C	absorption 0.000 z-1.24 into depth 1.55x; long against a descending chain
case0051	SKIP	C	absorption z-0.92 depth 1.84x, flow z+0.1, no agreement
case0052	SKIP	C	opt delta z-6.1 selling against the long; runway 17.4bp
case0053	SKIP	C	depth z+3.13 with absorption z-0.95 no-travel; runway 38.8bp
case0054	SKIP	C	objective 37.7bp to open, flow z+0.2, long against descending chain
case0055	SKIP	C	giveback 34bp vs 14.6bp to day low, depth z+3.75; no confluence below
case0056	SKIP	C	giveback 31bp vs 33.7bp, long against LL-LH-LL chain
