# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# TWO DEFECTS ARE FIXED IN THIS TABLE AND BOTH CHANGE THE HEADLINE.
# (1) THE DENOMINATOR.  `newobj.replay_delayed` emits one row per session THAT TRADED, and `read_rows` averages over exactly those, so every `usd_per_session` this program has printed for an ABSTAINING rule is conditional on trading.  usd_per_session_ALL is the honest figure: non-trading sessions contribute $0 and the mean is over the era's real session count.  usd_per_FIRING_session is the incumbent's quantity, kept beside it so the two are never confused again.  n_trades_total is the count that makes the difference legible.
# (2) THE MISSING FAMILIES.  `ARRIVAL_FITTED.tsv` carried 20 of these 30 policies: the fitted score columns were written only on eval rows, so `seats_tau`/`seats_occupancy` found an all-NaN training block, returned an empty seat list, and were dropped by `if not real: continue`.  Every LEVEL-consuming rule was missing from the table built to measure a calibrated LEVEL — OCCUPANCY among them, the declining-bar rule the seated-vs-selected diagnosis named as the medicine and which the journal recorded as already in flight.
# A POLICY THAT SEATS NOTHING NOW PRINTS A ROW READING $0.00 AT 0.000 seats/session instead of vanishing.
# REPLAYED ON THE ERA'S EVAL ROWS.  Reading the maximum of this table as an achievement is the winner's curse; see KNOB_HONESTY.tsv.
# Scores are the incumbent's own ISOTONICALLY CALIBRATED columns, extended to cover the training block (CALEV, verified to reproduce the incumbent's eval-row values exactly).  The inner table uses CALIN — the same map fitted on the inner TRAIN days — so the selector is out-of-sample in the same way the eval read is.
era	criterion	target	policy	knob	n_seeds	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	usd_per_FIRING_session	n_firing_sessions	n_era_sessions	n_trades_total	usd_per_trade	seats_per_session	shuffled_null	causal_oracle	capture_of_causal_oracle	aim_08causal	gap_to_aim
E4	context	A_EV	CELLSOFAR_0.8	0.8	5	-36.81	24.1	-137.71	64.09	-36.81	385.0	385	783.0	-18.21	2.0338	-58.65	2133.0	-0.0173	1706.4	-1743.21
E4	context	A_EV	CELLSOFAR_0.9	0.9	5	-61.45	24.46	-161.22	38.31	-61.45	385.0	385	778.2	-30.57	2.0213	-75.53	2133.0	-0.0288	1706.4	-1767.85
E4	context	A_EV	CELLSOFAR_0.95	0.95	5	-71.31	29.7	-169.76	27.13	-71.31	385.0	385	765.2	-36.05	1.9875	-58.28	2133.0	-0.0334	1706.4	-1777.71
E4	context	A_EV	CELLSOFAR_0.99	0.99	5	-66.66	50.89	-163.56	30.24	-66.73	384.8	385	752.0	-34.46	1.9532	-16.46	2133.0	-0.0313	1706.4	-1773.06
E4	context	A_EV	DAYSOFAR_0.5	0.5	5	4.47	27.7	-89.71	98.66	4.47	385.0	385	783.0	2.13	2.0338	-35.08	2133.0	0.0021	1706.4	-1701.93
E4	context	A_EV	DAYSOFAR_0.7	0.7	5	-46.17	34.69	-140.79	48.45	-46.17	385.0	385	767.6	-23.33	1.9938	-77.11	2133.0	-0.0216	1706.4	-1752.57
E4	context	A_EV	DAYSOFAR_0.9	0.9	5	-67.3	38.65	-159.27	24.67	-67.41	384.2	385	734.2	-35.67	1.907	-59.55	2133.0	-0.0316	1706.4	-1773.7
E4	context	A_EV	FIRST_3		5	-80.87	0.0	-175.93	14.19	-80.87	385.0	385	786.0	-39.61	2.0416	-80.87	2133.0	-0.0379	1706.4	-1787.27
E4	context	A_EV	OCCUPANCY_0.5	0.5	5	-13.66	19.85	-87.79	60.46	-16.03	325.4	385	377.2	-13.61	0.9797	-33.74	2133.0	-0.0064	1706.4	-1720.06
E4	context	A_EV	OCCUPANCY_1	1.0	5	-54.19	27.92	-130.61	22.24	-60.48	345.0	385	408.0	-51.15	1.0597	-14.07	2133.0	-0.0254	1706.4	-1760.59
E4	context	A_EV	OCCUPANCY_2	2.0	5	-55.32	25.84	-139.22	28.58	-58.38	363.4	385	464.0	-45.52	1.2052	-50.58	2133.0	-0.0259	1706.4	-1761.72
