timestamp	unit	verdict	evidence	note
2026-08-23T10:47:04Z	frame	VERIFIED	user request in active thread	Fresh rebuild; archive the current skills and hooks before replacement.
2026-08-23T10:47:04Z	codex-discovery	VERIFIED	https://learn.chatgpt.com/docs/agent-configuration/agents-md	AGENTS.md is the project instruction chain; nested files override broader files.
2026-08-23T10:47:04Z	codex-skills	VERIFIED	https://learn.chatgpt.com/docs/build-skills	Repository skills are discovered under .agents/skills; duplicate names are not merged.
2026-08-23T10:47:04Z	codex-rules	VERIFIED	https://learn.chatgpt.com/docs/agent-configuration/rules	.rules controls commands outside the sandbox and cannot enforce prose or workflow.
2026-08-23T10:47:04Z	baseline	VERIFIED	python3 tools/test_skill_routing_gate.py --selftest; python3 tools/unlazy_gates.py --selftest	Old routing passes its fixtures; Unlazy passes 22 of 22 fixtures before migration.
2026-08-23T10:55:28Z	upstream-method	VERIFIED	user clarification in active thread	Preserve Pstack and Pocock testing methods and principles as written. Add no house testing regime; adapt only the invocation wiring required by Codex.
2026-08-23T10:58:50Z	source-layering	VERIFIED	user clarification in active thread	Pstack is the base, not the sole authority. Layer compatible Pocock, Karpathy, Akita, Ousterhout, Unlazy, and OptMem material on top while keeping source ownership visible.
2026-08-23T10:59:19Z	source-priority	VERIFIED	user clarification in active thread	The core is Pstack, Pocock, Akita, Unlazy, and OptMem. Karpathy and Bigpowers receive only small compatible additions where they fill a clear gap.
2026-08-23T11:03:19Z	codex-hooks	VERIFIED	https://learn.chatgpt.com/docs/hooks	PreToolUse observes Bash, apply_patch, MCP, local function tools, and Agent spawns; hooks remain a guardrail because specialized tool paths may opt out.
2026-08-23T11:03:19Z	codex-agents	VERIFIED	https://learn.chatgpt.com/docs/agent-configuration/subagents	Project custom agents are standalone TOML files under .codex/agents and require name, description, and developer_instructions.
2026-08-23T11:12:02Z	pstack-pocock-audit	VERIFIED	design/harness_rebuild_20260823/research/pstack-pocock.md sha256 60fbb040aa1d41e9d2983c1f8bee8008cf07febdd38baa908071e6df3b00f990	Pinned Pstack 4612556 and Pocock 5b15a47; root remeasured 156/44/21/23 and 162/36/25/25 counts.
2026-08-23T11:12:02Z	enforcement-memory-audit	VERIFIED	design/harness_rebuild_20260823/research/enforcement-memory.md sha256 fbc3937c963291f2607341b71080dce687249dbe35e1a8f871178a38bcde1e21	Pinned pristine Unlazy 754d9a6 and installed byte-identical OptMem 1fb164c; official Codex lifecycle boundaries recorded.
2026-08-23T11:12:02Z	clean-code-audit	VERIFIED	design/harness_rebuild_20260823/research/clean-code.md sha256 3be52b89dbb846207ea38c7f6c9a86bcf9705214d5bb1b9343af79f587513718	Akita remains primary; root remeasured its 24-bullet, seven-heading source block and the pinned Karpathy and Bigpowers counts.
2026-08-23T12:47:41Z	postcompact-health-check	VERIFIED	python3 -B -m unittest test_optmem_lifecycle.OptMemLifecycleTests.test_post_compact_runs_only_the_nonsemantic_config_check	Defect class: hook implementation drifted from its red-first fixture. The repo sweep found one health-check implementation and one matching fixture; restored the valid read-only OptMem config probe.
