# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# STAGE A. promotion: FALSE. These are not champion claims and no arm is adopted on this table.
# Fitted on the inner-TRAIN days and read on the inner-VALIDATION days of the E3/E5/E7 folds — entirely inside the training block, so no evaluation era is touched by the screen.
# Yardstick = realised $/session under the harness's own cell/N seating, the ONE metric comparable across objectives (a cell's own loss is not).
# Every cell has a SHUFFLED TWIN at identical budget; a cell whose twin reaches its own lift is VOID.
# reference cell = cell|ndcg3|dollars|full|xgb|BASE at $249.17/session
cell	design_block	inner_usd_per_session	lift_vs_reference	shuffled_twin_lift	train_p1	train_p1_shuffled	median_group_size	status	mechanism
joint|dpairs|dollars|full|xgb|CELLREL	granularity_x_obj	1001.29	752.12	-428.14	0.6102	0.3164	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
joint|dpairs|dollars|full|xgb|DIP	joint	923.43	674.26	-487.27	0.631	0.3059	495.7	LIVE	OBJ-1: the {member x delay} choice set
joint|dpairs|dollars|full|xgb|DAYSOFAR	joint	899.21	650.04	-469.36	0.6165	0.3132	495.7	LIVE	OBJ-1: the {member x delay} choice set
joint|dpairs|dollars|full|xgb|TABPFN	joint	810.68	561.51	-410.42	0.638	0.309	495.7	LIVE	OBJ-1: the {member x delay} choice set
joint|dpairs|dollars|full|xgb|BASE	granularity_x_obj	768.24	519.08	-454.8	0.5906	0.3014	495.7	LIVE	group definition is first-order in IR; swept against the objective at both feature levels
cell|dpairs|cellrank|full|xgb|CELLREL	obj_x_target	641.86	392.69	-332.31	0.7474	0.724	99.8	LIVE	objective x target at group=cell
cell|dpairs|cellrank|full|xgb|DAYSOFAR	obj_x_target	627.52	378.36	-370.07	0.7505	0.7162	99.8	LIVE	objective x target at group=cell
cell|dpairs|cellrank|full|xgb|TABPFN	obj_x_target	608.24	359.08	-279.94	0.753	0.7181	99.8	LIVE	objective x target at group=cell
cell|dpairs|cellrank|full|xgb|DIP	obj_x_target	593.58	344.42	-410.79	0.7522	0.7159	99.8	LIVE	objective x target at group=cell
cell|dpairs|cellrank|full|xgb|BASE	obj_x_target	580.32	331.15	-363.85	0.7518	0.7136	99.8	LIVE	objective x target at group=cell
cell|ndcg3|cellrank|full|xgb|CELLREL	obj_x_target	488.06	238.9	-253.46	0.7258	0.7372	99.8	LIVE	objective x target at group=cell
cell|ndcg1|cellrank|full|xgb|CELLREL	obj_x_target	488.06	238.9	-253.46	0.7258	0.7372	99.8	LIVE	objective x target at group=cell
