evidence_id	status	claim_scope	spec_sha256	code_sha256	input_authority_ids	output_sha256	evaluator_sha256	controls	disposition_path
E_SCHEMA	ACTIVE	ledger_schema							This header defines the minimum evidence tuple; each claim row below is independently scoped
E_CONTRACT_V1	ACTIVE_CONTRACT	project economic and evaluation contract	5fadbf7b31c4234101a33424f00db1be50bd876e33b6293af4ab3d7726aa2e82		corpus_registry_1003;action_book_red_declaration;fold_registry_v2;estimator_laws_v1;cost_table_final			committed-contract-bytes;structural-verifier	PROJECT_CONTRACT.md
E_CAUSAL_CLOCK_SIDE_V1	ACTIVE_CONTRACT	causal clocks side identity and typed dependency law	3f7d1820f250e814f186f49ae5e830c9f250905561d73e01740794f6c637743d		event_publication;events4_truth_relation;corpus_registry_1003	667ff4116338573c3ffddace170862ace8950244b58ec28f3e691dad04299226		singleton-key-mismatch;multi-member-split;equal-time-permutation;future-suffix	PROJECT_MEMORY.md#5-causal-clock-law
E_LEAK10_F4	POSITIVE_CONTROL_ONLY	future-outcome injection learnability fold 4	fcae6bfdfc5551e07e3afddd08eea4e1843dc826219e2573c376ec7afe13ce97	576a981a52f1258d919d844a58af04ae5684e2476b7f3cf452b0abb360975835	action_book;entry_path_targets;fold_registry_v2	062ab2258d11316e75939130b86ca75ec7e21469a7a87dda70589177d42a79cc		exact-head-future-injection;ten-epoch-clean-refit;XOR;key-FD	/workspace/artifacts/cache/fresh_entry_causal_rawprefix_tournament_v1/science_runs/leak10_F4/manifest.json
E_LEAK10_F5	POSITIVE_CONTROL_ONLY	future-outcome injection learnability fold 5	fcae6bfdfc5551e07e3afddd08eea4e1843dc826219e2573c376ec7afe13ce97	576a981a52f1258d919d844a58af04ae5684e2476b7f3cf452b0abb360975835	action_book;entry_path_targets;fold_registry_v2	e95b9172df21d824ea9d35995860c59e750fd632aa873cb789c870d5ecb17461		exact-head-future-injection;ten-epoch-clean-refit;XOR;key-FD	/workspace/artifacts/cache/fresh_entry_causal_rawprefix_tournament_v1/science_runs/leak10_F5/manifest.json
E_DELAYED_CERTIFICATE_V1	NONPROMOTABLE_HINDSIGHT	same-side delayed certificate opportunity sessions 500-749	22871cfa74836c8d570df48148d12e09fef0031cfa08286b6fdb649885914a0b	4e1e8b9fa9172dbe5c0583a772198eb276d849da869d3500e75bf1938c806492	action_book;entry_path_targets;fold_registry_v2	d81a2276dcd4145b9a67bf2b4893401f70232dc9925c8cff17aff0b4c2c89646	084cc40bfc97fbaff9a72efa1a995bcbf376fb306dff8284b5bf6decefb8c1f6	dual-pass-byte-identity;physical-rehash;delay0-identity;no-MAE-filter;strict-overlap	docs/EXPERIMENT_AND_FAILURE_HISTORY.md#6-delayed-same-side-hindsight-opportunity
E_PROXY_SCOPE_LAW_V1	ACTIVE_INFERENCE_LAW	exact scientific-object and negative-evidence scope	a1c32e175f38aaab036dabdf18ddadc2de0210e1a72c73247f324dcd9ab6a1a5					proxy-tuple-firewall;matched-representation-controls	PROJECT_MEMORY.md#9-proxy-firewall
E_CLEANROOM_STATUS_V1	ACTIVE_AUDIT	completed clean-room migration and current status	859a9aab2e3aacf966579ec4818af71afc70eed64a2bc4525f9b20147f464bd4			b74e7f4723db84d8d1d94ef30946b441126d69811234991b4af1fbbc04b2b02c		locked-offline-check;payload-free-tests;restore-proof;transcript-prefix;knowledge-zero-unclassified;recursive-cutover-identity;redundant-temp-cleanup	INDEX.md#current-truth
E_ADAPTER_V2_REFUTED	REFUTED_NO_PAYLOAD	dedicated causal Rust reader three-session probe	3f7d1820f250e814f186f49ae5e830c9f250905561d73e01740794f6c637743d	9126cc81a55c8cef45d655ce8536fee284283901a3937555da3a62334dd18b16	corpus_registry_1003;native_reader_addendum	b6e07480e7819d776101739412da53b66b12e34affc8ce47407bcda4b251d15d		16-production-fixtures;9-preflight-mutants;wrong-civil-day-refutation	evidence/failures/reader_adapter_v2/FROZEN_ADAPTER_V2_RECEIPT.tsv
E_NATIVE_FORMULATION_V1	ACTIVE_FORMULATION_UNTESTED	native ordered causal representation and interaction ladder	3f7d1820f250e814f186f49ae5e830c9f250905561d73e01740794f6c637743d		event_publication;events4_truth_relation;corpus_registry_1003;native_reader_addendum	667ff4116338573c3ffddace170862ace8950244b58ec28f3e691dad04299226		future-value-and-risk-controls;XOR;order-destruction;operand-derangement;equality-mutations	evidence/claims/native_state/TASK_CARD.md
E_DYNAMIC_POLICY_SPEC_V1	UNTESTED_SPEC	dynamic ENTER WAIT PASS and later EXIT HOLD family	822ef23940356631ebca8f9336a42b0da8a37b94c770ecaa47669fd50897f82a					implicit-wait-baseline;chronological-occupancy;opportunity-cost-target	docs/HYPOTHESIS_ATLAS.md
