# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE CUMULATIVE AXIS TABLE — every score column this campaign has measured, on the one number that pays.  Append-only in intent: new columns are added to AXIS_COLUMNS and this file is rebuilt.
# WHY THIS AXIS: a threshold on the TRUE within-day rank of the certificate, carrying no dollar information at all, reaches 0.966-0.979 of the causal oracle against the true-DOLLAR prophet's 0.99-1.00.  The within-day ORDERING is ~98% of the attainable value.
# usd_per_+0.01_spearman is the M1 low-end slope ($31.01 / $37.84 / $43.33 on E5 / E6 / E7).  usd_implied_by_level is what the M1 dose-response says a score of that quality should earn per session; compare it against the column's REALISED blind dollars, because agreement means the curve describes the score honestly and disagreement means the dollars came from the rule.
# ORACLE_DAYRANK is HINDSIGHT and is excluded from the BEST flag.
# THE MEASURED SPLIT, and it is clean: POINTWISE REGRESSION ONTO THE METRIC WORKS (A_EV on raw dollars, H3_DAYZ on the within-day normal score) and RANKING OBJECTIVES DO NOT (rank:ndcg on within-day grades, rank:pairwise on full-resolution within-day ranks, both at or below zero on every era, with and without the inherited monotone constraints).
era	score_column	within_day_spearman	sd_over_seeds	n_seeds	incumbent_S_XGB_spearman	delta_vs_incumbent	usd_per_+0.01_spearman	usd_implied_by_delta	usd_implied_by_level	is_best_causal_column
E5	ORACLE_DAYRANK	0.99496	0.0	1	-0.03294	1.0279	31.01	3187.52	3085.37	
E5	V_FLOWGEO	0.07136	0.00327	5	-0.03294	0.1043	31.01	323.43	221.28	BEST
E5	V_SHALLOW	0.06696	0.0035	5	-0.03294	0.09991	31.01	309.81	207.65	
E5	V_SESSZ	0.05942	0.00371	5	-0.03294	0.09236	31.01	286.42	184.27	
E5	V_VOLMATCH	0.05448	0.00284	5	-0.03294	0.08742	31.01	271.09	168.93	
E5	V_DEEP	0.05021	0.00423	5	-0.03294	0.08315	31.01	257.84	155.69	
E5	H3_DAYZ	0.05015	0.00776	5	-0.03294	0.08309	31.01	257.67	155.52	
E5	R_RRF_FUSE	0.03961	0.0	1	-0.03294	0.07255	31.01	224.98	122.83	
E5	R_PCT_H3_DAYZ	0.03739	0.0	1	-0.03294	0.07034	31.01	218.11	115.96	
E5	R_PCT_MEAN	0.03445	0.0	1	-0.03294	0.06739	31.01	208.98	106.83	
E5	A_EV_RAW	0.03356	0.00914	5	-0.03294	0.06651	31.01	206.23	104.08	
E5	R_PCT_A_EV_RAW	0.03286	0.0	1	-0.03294	0.0658	31.01	204.04	101.88	
E5	V_ASSETZ	0.03175	0.00929	5	-0.03294	0.06469	31.01	200.59	98.44	
E5	A_PBAR_RAW	0.02323	0.00184	5	-0.03294	0.05617	31.01	174.17	72.02	
E5	R_RRF_H3_DAYZ	0.02167	0.0	1	-0.03294	0.05461	31.01	169.36	67.21	
E5	C_STACK_Z	0.02123	0.0	1	-0.03294	0.05417	31.01	167.98	65.83	
E5	C_RRF_MULTI	0.00591	0.0	1	-0.03294	0.03885	31.01	120.47	18.31	
E5	R_RRF_A_EV_RAW	0.00412	0.0	1	-0.03294	0.03706	31.01	114.92	12.77	
E5	H3_DAYPAIR	0.00288	0.0029	5	-0.03294	0.03582	31.01	111.09	8.94	
E5	C_RRF	-0.01223	0.0	1	-0.03294	0.02071	31.01	64.22	-37.93	
E5	R_RRF_S_XGB	-0.01223	0.0	1	-0.03294	0.02071	31.01	64.22	-37.93	
E5	H1_DAYRANK	-0.01229	0.01414	5	-0.03294	0.02065	31.01	64.03	-38.12	
E5	S_XGB_DAYZ	-0.01245	0.00097	5	-0.03294	0.02049	31.01	63.54	-38.61	
E5	C_CELLPCT	-0.01388	0.0	1	-0.03294	0.01906	31.01	59.09	-43.06	
E5	R_PCT_S_XGB	-0.01388	0.0	1	-0.03294	0.01906	31.01	59.09	-43.06	
E5	C_PLACE	-0.02041	0.0	1	-0.03294	0.01253	31.01	38.87	-63.28	
E5	C_STACK	-0.02103	0.0	1	-0.03294	0.01191	31.01	36.94	-65.21	
E5	H1_NOMONO	-0.02126	0.00137	5	-0.03294	0.01169	31.01	36.24	-65.91	
E5	S_XGB	-0.03294	0.00114	5	-0.03294	0.0	31.01	0.0	-102.15	
E5	A_PWIN_RAW	-0.03666	0.00335	5	-0.03294	-0.00372	31.01	-11.53	-113.68	
E6	ORACLE_DAYRANK	0.98921	0.0	1	-0.00228	0.99149	37.84	3751.81	3743.16	
E6	V_SHALLOW	0.09543	0.00295	5	-0.00228	0.09771	37.84	369.75	361.1	BEST
E6	V_VOLMATCH	0.08926	0.00341	5	-0.00228	0.09154	37.84	346.4	337.76	
E6	H3_DAYZ	0.08925	0.00353	5	-0.00228	0.09153	37.84	346.36	337.72	
E6	V_DEEP	0.08829	0.00436	5	-0.00228	0.09057	37.84	342.74	334.09	
E6	V_SESSZ	0.08252	0.00209	5	-0.00228	0.0848	37.84	320.89	312.24	
E6	V_FLOWGEO	0.06888	0.00196	5	-0.00228	0.07117	37.84	269.3	260.65	
E6	V_ASSETZ	0.06328	0.007	5	-0.00228	0.06557	37.84	248.1	239.46	
E6	R_PCT_MEAN	0.0609	0.0	1	-0.00228	0.06318	37.84	239.09	230.45	
E6	R_RRF_FUSE	0.0606	0.0	1	-0.00228	0.06288	37.84	237.94	229.29	
E6	R_PCT_H3_DAYZ	0.05908	0.0	1	-0.00228	0.06136	37.84	232.19	223.55	
E6	C_STACK_Z	0.0579	0.0	1	-0.00228	0.06018	37.84	227.74	219.09	
E6	A_EV_RAW	0.05234	0.0038	5	-0.00228	0.05462	37.84	206.68	198.04	
E6	R_PCT_A_EV_RAW	0.0449	0.0	1	-0.00228	0.04718	37.84	178.54	169.89	
E6	C_CELLPCT	0.03089	0.0	1	-0.00228	0.03318	37.84	125.55	116.9	
E6	R_PCT_S_XGB	0.03089	0.0	1	-0.00228	0.03318	37.84	125.55	116.9	
E6	R_RRF_H3_DAYZ	0.02757	0.0	1	-0.00228	0.02986	37.84	112.98	104.33	
E6	S_XGB_DAYZ	0.01795	0.01332	5	-0.00228	0.02024	37.84	76.59	67.94	
E6	A_PBAR_RAW	0.01247	0.00124	5	-0.00228	0.01476	37.84	55.84	47.19	
E6	C_RRF_MULTI	0.0112	0.0	1	-0.00228	0.01349	37.84	51.03	42.39	
E6	R_RRF_A_EV_RAW	0.00734	0.0	1	-0.00228	0.00962	37.84	36.41	27.77	
E6	C_STACK	0.00319	0.0	1	-0.00228	0.00548	37.84	20.73	12.08	
E6	H3_DAYPAIR	-0.00193	0.00511	5	-0.00228	0.00036	37.84	1.35	-7.3	
E6	S_XGB	-0.00228	0.01729	5	-0.00228	0.0	37.84	0.0	-8.65	
E6	C_RRF	-0.00369	0.0	1	-0.00228	-0.00141	37.84	-5.33	-13.97	
E6	R_RRF_S_XGB	-0.00369	0.0	1	-0.00228	-0.00141	37.84	-5.33	-13.97	
E6	H1_DAYRANK	-0.0208	0.00621	5	-0.00228	-0.01852	37.84	-70.07	-78.71	
E6	C_PLACE	-0.03199	0.0	1	-0.00228	-0.0297	37.84	-112.39	-121.03	
E6	H1_NOMONO	-0.04393	0.00809	5	-0.00228	-0.04165	37.84	-157.6	-166.25	
E6	A_PWIN_RAW	-0.06634	0.00183	5	-0.00228	-0.06406	37.84	-242.39	-251.03	
E7	ORACLE_DAYRANK	0.98573	0.0	1	-0.0372	1.02293	43.33	4432.36	4271.17	
E7	V_SHALLOW	0.08398	0.00165	5	-0.0372	0.12118	43.33	525.08	363.89	BEST
E7	H3_DAYZ	0.07785	0.00217	5	-0.0372	0.11505	43.33	498.5	337.31	
E7	V_VOLMATCH	0.07157	0.00534	5	-0.0372	0.10877	43.33	471.3	310.11	
E7	V_DEEP	0.07139	0.00774	5	-0.0372	0.10859	43.33	470.53	309.34	
E7	V_SESSZ	0.06664	0.0007	5	-0.0372	0.10384	43.33	449.95	288.76	
E7	V_FLOWGEO	0.06621	0.00289	5	-0.0372	0.10341	43.33	448.06	286.87	
E7	R_PCT_H3_DAYZ	0.05011	0.0	1	-0.0372	0.08731	43.33	378.31	217.12	
E7	R_RRF_FUSE	0.03639	0.0	1	-0.0372	0.07359	43.33	318.87	157.68	
E7	C_STACK_Z	0.03576	0.0	1	-0.0372	0.07296	43.33	316.13	154.94	
E7	V_ASSETZ	0.03427	0.00414	5	-0.0372	0.07147	43.33	309.69	148.5	
E7	R_PCT_MEAN	0.03426	0.0	1	-0.0372	0.07146	43.33	309.63	148.44	
E7	A_EV_RAW	0.03244	0.00991	5	-0.0372	0.06964	43.33	301.75	140.56	
E7	R_PCT_A_EV_RAW	0.02619	0.0	1	-0.0372	0.06339	43.33	274.68	113.49	
E7	R_RRF_H3_DAYZ	0.01961	0.0	1	-0.0372	0.05681	43.33	246.14	84.96	
E7	A_PBAR_RAW	0.00905	0.00213	5	-0.0372	0.04625	43.33	200.41	39.22	
E7	C_RRF_MULTI	-0.0079	0.0	1	-0.0372	0.0293	43.33	126.94	-34.25	
E7	H3_DAYPAIR	-0.00885	0.00321	5	-0.0372	0.02835	43.33	122.83	-38.36	
E7	C_CELLPCT	-0.0123	0.0	1	-0.0372	0.0249	43.33	107.88	-53.31	
E7	R_PCT_S_XGB	-0.0123	0.0	1	-0.0372	0.0249	43.33	107.88	-53.31	
E7	S_XGB_DAYZ	-0.01687	0.00205	5	-0.0372	0.02033	43.33	88.09	-73.09	
E7	R_RRF_A_EV_RAW	-0.02068	0.0	1	-0.0372	0.01652	43.33	71.57	-89.62	
E7	C_RRF	-0.02261	0.0	1	-0.0372	0.01459	43.33	63.24	-97.95	
E7	R_RRF_S_XGB	-0.02261	0.0	1	-0.0372	0.01459	43.33	63.24	-97.95	
E7	C_STACK	-0.02505	0.0	1	-0.0372	0.01215	43.33	52.64	-108.55	
E7	C_PLACE	-0.02683	0.0	1	-0.0372	0.01037	43.33	44.93	-116.26	
E7	H1_DAYRANK	-0.03641	0.00344	5	-0.0372	0.00079	43.33	3.41	-157.78	
E7	S_XGB	-0.0372	0.00196	5	-0.0372	0.0	43.33	0.0	-161.19	
E7	H1_NOMONO	-0.04896	0.00265	5	-0.0372	-0.01176	43.33	-50.98	-212.16	
E7	A_PWIN_RAW	-0.07462	0.00132	5	-0.0372	-0.03742	43.33	-162.13	-323.31	
