# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# arm = the champion's SCORE-MEAN ensemble over 15 members
# Computed from the SAME replay the $/session table uses, so the panel and the headline cannot disagree.
# dd_* are INTRA-SESSION drawdowns of the seated P&L sequence; the D-030 law is a $1000 maximum and frac_sessions_dd_over_1000 is the breach rate.
# Weekly rows use ISO weeks; weekly_pnl_p10 is the 10th percentile week -- the user's weekly framing of a bad run.
# precision_at_1000 is the fraction of TAKES paying >= $1000 (the D-021 target), not a model probability.
# takes_per_day_* are per SESSION, i.e. per (asset, trading day) -- the unit the one-position contract applies to -- not per calendar day across the three books.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates
CHAMPION_ENSEMBLE_SCOREMEAN	E3	ALL	390	1187	3.04	3.0	5.0	0.508	0.1146	73.11	13.75	-930.0	1095.0	390.93	243.75	950.0	0.4263	222.52	930.0	1718.62	2790.0	0.3154	0.4974	27	3214.21	-4185.5	0.2593	5	6460
CHAMPION_ENSEMBLE_SCOREMEAN	E3	SI	130	399	3.07	3.0	5.0	0.4962	0.1529	119.66	-5.0	-930.0	1360.0	478.95	300.0	1200.0	0.5288	367.25	930.0	1860.0	2790.0	0.3692	0.4923	27	1768.24	-2768.0	0.3704	5	
CHAMPION_ENSEMBLE_SCOREMEAN	E3	HG	130	396	3.05	3.0	4.0	0.5101	0.101	49.02	20.0	-930.0	1001.25	388.05	240.62	928.13	0.4495	149.34	930.0	1634.37	2752.5	0.3077	0.4846	27	719.03	-2687.5	0.5185	7	
CHAMPION_ENSEMBLE_SCOREMEAN	E3	NKD	130	392	3.02	3.0	4.0	0.5179	0.0893	50.07	20.0	-930.0	917.5	304.24	200.0	700.0	0.2985	150.98	587.5	1342.0	2202.5	0.2692	0.5154	27	726.94	-2065.0	0.4444	6	
CHAMPION_ENSEMBLE_SCOREMEAN	E4	ALL	385	1155	3.0	3.0	3.0	0.6329	0.1316	265.27	188.75	-700.0	1173.75	280.4	150.0	707.5	0.303	795.81	330.0	960.0	2215.0	0.0883	0.2649	26	11784.13	4978.13	0.0	2	6324
CHAMPION_ENSEMBLE_SCOREMEAN	E4	SI	128	384	3.0	3.0	3.0	0.6354	0.1458	316.52	220.0	-930.0	1346.25	388.87	212.5	1051.25	0.4245	949.55	498.75	972.5	1860.0	0.0938	0.2578	26	4674.71	400.0	0.0769	3	
CHAMPION_ENSEMBLE_SCOREMEAN	E4	HG	128	384	3.0	3.0	3.0	0.6484	0.1458	267.04	207.5	-626.25	1168.75	251.51	125.0	643.75	0.2708	801.11	248.12	930.0	2215.0	0.0703	0.2656	26	3943.94	907.5	0.0385	3	
CHAMPION_ENSEMBLE_SCOREMEAN	E4	NKD	129	387	3.0	3.0	3.0	0.615	0.1034	212.67	132.5	-580.0	1012.5	201.42	125.0	517.5	0.2145	638.0	255.0	998.5	1840.0	0.1008	0.2713	26	3165.48	-237.5	0.1923	4	
CHAMPION_ENSEMBLE_SCOREMEAN	E5	ALL	387	1161	3.0	3.0	3.0	0.6279	0.1146	233.03	170.0	-655.0	1070.0	258.32	125.0	675.0	0.2687	699.1	292.5	1024.5	2790.0	0.1059	0.292	26	10405.82	4921.87	0.0	2	6108
CHAMPION_ENSEMBLE_SCOREMEAN	E5	SI	129	387	3.0	3.0	3.0	0.6615	0.1473	332.31	245.0	-615.0	1255.0	353.13	175.0	855.0	0.354	996.92	242.5	949.0	2790.0	0.093	0.2403	26	4946.25	793.75	0.0769	3	
CHAMPION_ENSEMBLE_SCOREMEAN	E5	HG	129	387	3.0	3.0	3.0	0.6021	0.0491	130.38	132.5	-555.0	820.0	196.32	100.0	511.25	0.1835	391.15	330.0	917.5	1635.0	0.062	0.3411	26	1940.72	-550.0	0.2308	5	
CHAMPION_ENSEMBLE_SCOREMEAN	E5	NKD	129	387	3.0	3.0	3.0	0.6202	0.1473	236.41	170.0	-930.0	1205.0	225.52	112.5	530.0	0.2687	709.22	317.5	1291.0	2352.5	0.1628	0.2946	26	3518.85	-143.75	0.1538	4	
CHAMPION_ENSEMBLE_SCOREMEAN	E6	ALL	384	1152	3.0	3.0	3.0	0.559	0.1354	181.07	132.5	-930.0	1206.25	367.48	187.5	836.88	0.3741	543.2	623.75	1483.12	2865.0	0.2057	0.3776	26	8022.69	15.62	0.1154	4	6264
CHAMPION_ENSEMBLE_SCOREMEAN	E6	SI	128	384	3.0	3.0	3.0	0.5495	0.1771	251.8	145.0	-930.0	1403.75	471.68	237.5	1136.25	0.4844	755.41	778.75	1467.5	2790.0	0.2188	0.375	26	3718.94	1018.75	0.0769	3	
CHAMPION_ENSEMBLE_SCOREMEAN	E6	HG	128	384	3.0	3.0	3.0	0.6198	0.0885	198.84	207.5	-686.87	941.25	253.92	131.25	631.25	0.2448	596.52	298.75	930.0	2146.25	0.0781	0.3047	26	2936.73	660.62	0.0385	3	
CHAMPION_ENSEMBLE_SCOREMEAN	E6	NKD	128	384	3.0	3.0	3.0	0.5078	0.1406	92.56	7.5	-955.0	1306.25	376.82	225.0	833.75	0.3932	277.68	955.0	1752.5	2865.0	0.3203	0.4531	26	1367.02	-2543.75	0.5	7	
CHAMPION_ENSEMBLE_SCOREMEAN	E7	ALL	393	1179	3.0	3.0	3.0	0.6115	0.201	325.92	195.0	-930.0	1602.5	386.89	206.25	975.0	0.3969	977.76	730.0	1546.0	2865.0	0.2239	0.3232	27	14231.9	4133.75	0.0741	3	5098
CHAMPION_ENSEMBLE_SCOREMEAN	E7	SI	131	393	3.0	3.0	3.0	0.542	0.2188	285.3	145.0	-930.0	1780.0	515.84	312.5	1357.5	0.5267	855.9	930.0	1860.0	2790.0	0.3206	0.3893	27	4152.69	-557.5	0.1481	4	
CHAMPION_ENSEMBLE_SCOREMEAN	E7	HG	131	393	3.0	3.0	3.0	0.6616	0.1094	198.26	188.75	-917.5	1013.75	205.82	118.75	511.25	0.2697	594.78	261.25	960.0	1860.0	0.0992	0.2672	27	2885.79	258.0	0.1111	4	
CHAMPION_ENSEMBLE_SCOREMEAN	E7	NKD	131	393	3.0	3.0	3.0	0.631	0.2748	494.2	332.5	-955.0	1955.0	438.99	212.5	1145.0	0.3944	1482.61	955.0	1615.0	2865.0	0.2519	0.313	27	7193.43	517.5	0.0741	5	
