# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# TWO DEFECTS ARE FIXED IN THIS TABLE AND BOTH CHANGE THE HEADLINE.
# (1) THE DENOMINATOR.  `newobj.replay_delayed` emits one row per session THAT TRADED, and `read_rows` averages over exactly those, so every `usd_per_session` this program has printed for an ABSTAINING rule is conditional on trading.  usd_per_session_ALL is the honest figure: non-trading sessions contribute $0 and the mean is over the era's real session count.  usd_per_FIRING_session is the incumbent's quantity, kept beside it so the two are never confused again.  n_trades_total is the count that makes the difference legible.
# (2) THE MISSING FAMILIES.  `ARRIVAL_FITTED.tsv` carried 20 of these 30 policies: the fitted score columns were written only on eval rows, so `seats_tau`/`seats_occupancy` found an all-NaN training block, returned an empty seat list, and were dropped by `if not real: continue`.  Every LEVEL-consuming rule was missing from the table built to measure a calibrated LEVEL — OCCUPANCY among them, the declining-bar rule the seated-vs-selected diagnosis named as the medicine and which the journal recorded as already in flight.
# A POLICY THAT SEATS NOTHING NOW PRINTS A ROW READING $0.00 AT 0.000 seats/session instead of vanishing.
# REPLAYED ON THE ERA'S EVAL ROWS.  Reading the maximum of this table as an achievement is the winner's curse; see KNOB_HONESTY.tsv.
# Scores are the incumbent's own ISOTONICALLY CALIBRATED columns, extended to cover the training block (CALEV, verified to reproduce the incumbent's eval-row values exactly).  The inner table uses CALIN — the same map fitted on the inner TRAIN days — so the selector is out-of-sample in the same way the eval read is.
era	criterion	target	policy	knob	n_seeds	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	usd_per_FIRING_session	n_firing_sessions	n_era_sessions	n_trades_total	usd_per_trade	seats_per_session	shuffled_null	causal_oracle	capture_of_causal_oracle	aim_08causal	gap_to_aim
E5	BINDING	A_EV	CELLSOFAR_0.8	0.8	5	3.12	27.18	-101.64	107.87	3.12	379.0	379	772.0	1.45	2.0369	-44.88	2021.0	0.0015	1616.8	-1613.68
E5	BINDING	A_EV	CELLSOFAR_0.9	0.9	5	9.67	24.58	-95.13	114.47	9.67	379.0	379	769.6	4.58	2.0306	-40.83	2021.0	0.0048	1616.8	-1607.13
E5	BINDING	A_EV	CELLSOFAR_0.95	0.95	5	20.49	31.22	-83.66	124.65	20.49	379.0	379	763.6	10.08	2.0148	-38.32	2021.0	0.0101	1616.8	-1596.31
E5	BINDING	A_EV	CELLSOFAR_0.99	0.99	5	25.97	32.96	-77.99	129.93	25.97	379.0	379	752.2	12.81	1.9847	-42.47	2021.0	0.0128	1616.8	-1590.83
E5	BINDING	A_EV	DAYSOFAR_0.5	0.5	5	46.12	21.09	-63.31	155.54	46.12	379.0	379	769.4	22.72	2.0301	-18.03	2021.0	0.0228	1616.8	-1570.68
E5	BINDING	A_EV	DAYSOFAR_0.7	0.7	5	45.93	30.66	-61.47	153.33	45.93	379.0	379	764.6	22.67	2.0174	-36.08	2021.0	0.0227	1616.8	-1570.87
E5	BINDING	A_EV	DAYSOFAR_0.9	0.9	5	39.23	40.99	-63.01	141.48	39.24	378.8	379	731.8	19.94	1.9309	-42.17	2021.0	0.0194	1616.8	-1577.57
E5	BINDING	A_EV	FIRST_3		5	-75.04	0.0	-170.81	20.72	-75.04	379.0	379	777.0	-36.6	2.0501	-75.04	2021.0	-0.0371	1616.8	-1691.84
E5	BINDING	A_EV	OCCUPANCY_0.5	0.5	5	11.84	17.85	-66.3	89.99	14.37	312.0	379	367.2	12.24	0.9689	-62.67	2021.0	0.0059	1616.8	-1604.96
E5	BINDING	A_EV	OCCUPANCY_1	1.0	5	-9.17	25.87	-88.53	70.2	-10.79	325.2	379	392.2	-9.08	1.0348	-11.94	2021.0	-0.0045	1616.8	-1625.97
