# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE SESSION-STOP OVERLAY -- REPLAY ARITHMETIC ONLY. The seats are exactly the ones the arm already chose; the overlay stops the DAY once intraday drawdown crosses the line and drops every later seat.  Nothing is refitted and nothing is re-selected.
# STOP_WALL2_900 = stop after a SECOND walled loss once drawdown >= $900.  STOP_HARD_1000 = stop at $1,000 drawdown outright (the D-030 line itself).
# MECHANISM: a D-030 breach is almost always a TWO-WALL SESSION -- 2 x ~$930 = $1,860 against a $1,000 law, and one wall alone cannot breach it.  The breach rate is therefore a direct function of the ENTRY win rate: E5 is clean (1.8%) because 0.726 wins make two-wall days rare; E3 breaches 19.7% at 0.587.  Entries and drawdowns are the same problem seen twice.
# MEASURED CORRECTION: the two drawdown-triggered stops do NOT drive the breach rate toward zero, because a stop cannot prevent the breach that triggers it -- at $1,000 drawdown the $1,000 breach is already booked. STOP_WALL1 (halt on the FIRST walled loss, at ~$930, before the law is broken) is the only variant that can cut the rate, and it is priced here beside them.
# ADOPTION TOUCHES THE TRADING PROCEDURE and is the user's call (D-029); this is a measurement.
era	arm	usd_per_session	delta_vs_raw	win_rate	frac_sessions_dd_over_1000	dd_p90	n_takes	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac
E3	RAW	684.52		0.6073	0.1744	1246.88	1184	9887.45	3826.25	0.037
E3	STOP_WALL2_900	673.28	-11.24	0.6067	0.1667	1204.87	1162	9725.09	3035.75	0.0741
E3	STOP_HARD_1000	658.04	-26.48	0.6045	0.1744	1229.38	1163	9505.0	2742.25	0.0741
E3	STOP_WALL1	502.59	-181.93	0.6193	0.0154	930.0	893	7259.63	1266.0	0.0741
E4	RAW	1003.08		0.6745	0.0623	933.0	1155	14853.37	6352.5	0.0
E4	STOP_WALL2_900	994.7	-8.38	0.6736	0.0623	933.0	1149	14729.28	6711.25	0.0
E4	STOP_HARD_1000	995.31	-7.78	0.6736	0.0623	933.0	1149	14738.17	6811.25	0.0
E4	STOP_WALL1	826.42	-176.67	0.6798	0.0078	925.0	962	12237.36	4905.0	0.0
E5	RAW	1121.37		0.7373	0.0155	757.5	1161	16691.15	9888.13	0.0
E5	STOP_WALL2_900	1123.77	2.4	0.7379	0.0155	757.5	1160	16726.92	9888.13	0.0
E5	STOP_HARD_1000	1123.77	2.4	0.7379	0.0155	757.5	1160	16726.92	9888.13	0.0
E5	STOP_WALL1	1019.63	-101.74	0.7456	0.0	630.0	1026	15176.73	8133.75	0.0
E6	RAW	1107.28		0.651	0.1198	1136.25	1152	16353.7	10256.25	0.0
E6	STOP_WALL2_900	1111.11	3.83	0.6547	0.112	1072.5	1138	16410.24	10351.88	0.0
E6	STOP_HARD_1000	1101.35	-5.93	0.6526	0.1198	1122.25	1140	16266.11	10351.88	0.0
E6	STOP_WALL1	924.33	-182.95	0.6648	0.0026	955.0	889	13651.63	8199.37	0.0
E7	RAW	1644.26		0.732	0.0992	984.0	1179	23933.06	11647.5	0.0
E7	STOP_WALL2_900	1630.94	-13.31	0.732	0.0992	984.0	1168	23739.26	11664.5	0.0
E7	STOP_HARD_1000	1609.8	-34.46	0.7321	0.0992	984.0	1161	23431.53	11262.5	0.0
E7	STOP_WALL1	1362.11	-282.15	0.741	0.0076	955.0	946	19826.2	7336.0	0.0
