# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE CONSTRAINT ARTIFACT.  A column is constrained only where a NAMED CENSUS FACT and a MEASURED STABILITY RECEIPT agree, or where the stability receipt is clean and the censuses are silent.  Where they DISAGREE the column is left FREE and the conflict is recorded (source=CONFLICT_census_vs_measured) rather than resolved by preference.
# The stability receipt is computed on TRAINING ERAS ONLY, per fold: the within-cell Spearman of the column against `cert_close_usd` must carry the SAME SIGN in every training era and its mean |rho| must clear 0.010. A sign that was not stable in the past is not imposed on the future.
# Census sources: CREATOR_CENSUS_MAIN.tsv (38 Holm-significant detectors; TAPE_DEAD 0.607 the strongest veto, PASSIVE_MOVE 1.838 the strongest concentrator), the SEAT_LIVE capacity replication (1.31-1.69x, 8/8 eras), and mechanical facts (cost and spread are subtracted).
era	feature	sign	source	mean_rho_train_eras	n_train_eras	sign_agreed_every_era	census_reason
E3	cls_SHOCK_RESOLUTION	1	STABLE_ONLY	0.04874	2	True	
E3	cls_LEVEL_FIRST_TEST	1	STABLE_ONLY	0.04126	2	True	
E3	cls_NEWS_WINDOW	1	STABLE_ONLY	0.03871	2	True	
E3	cls_OPEN_DYNAMICS	1	STABLE_ONLY	0.03051	2	True	
E3	cls_REVERSAL_CONFIRMATION	1	STABLE_ONLY	0.02872	2	True	
E3	cls_RECLAIM	1	STABLE_ONLY	0.04508	2	True	
E3	fam_G1_FINE	1	STABLE_ONLY	0.02539	2	True	
E3	fam_G1_FAST_OPEN	1	STABLE_ONLY	0.02706	2	True	
E3	fam_G2_REJECT	1	STABLE_ONLY	0.04026	2	True	
E3	fam_G2_RECLAIM	1	STABLE_ONLY	0.04516	2	True	
E3	fam_NEWS_WINDOW	1	STABLE_ONLY	0.03871	2	True	
E3	fam_MICRO_OPEN	1	STABLE_ONLY	0.04256	2	True	
E3	fam_POST_SHOCK	1	STABLE_ONLY	0.04874	2	True	
E3	fam_FIRST_TEST	1	STABLE_ONLY	0.04126	2	True	
E3	rung_0.05	1	STABLE_ONLY	0.02212	2	True	
E3	rung_0.075	1	STABLE_ONLY	0.02284	2	True	
E3	rung_0.11	1	STABLE_ONLY	0.02345	2	True	
E3	rung_0.15	1	STABLE_ONLY	0.02443	2	True	
E3	levfam_FVOL_LADDER	1	STABLE_ONLY	0.04072	2	True	
E3	levfam_FVOL_BAND	1	STABLE_ONLY	0.04448	2	True	
E3	levfam_NDAY	1	STABLE_ONLY	0.05067	2	True	
E3	levfam_PRIOR_DAY	1	STABLE_ONLY	0.04444	2	True	
E3	levfam_PHASE_HL	1	STABLE_ONLY	0.03885	2	True	
E3	levfam_VWAP	1	STABLE_ONLY	0.03918	2	True	
E3	levfam_OR_EXT	1	STABLE_ONLY	0.04001	2	True	
E3	flag_OREXT_BEYOND	1	STABLE_ONLY	0.03161	2	True	
E3	flag_OREXT_BEYOND_ANY	1	STABLE_ONLY	0.04204	2	True	
E3	flag_FIRST_TEST_VIRGIN	1	STABLE_ONLY	0.04447	2	True	
E3	rv1800_usd	1	STABLE_ONLY	0.01564	2	True	
E3	rv_ratio	1	STABLE_ONLY	0.0162	2	True	
E3	unspent_sess_usd	0	CONFLICT_census_vs_measured	-0.07318	2	True	capacity: unspent session dollars = room left
E3	coverage_phase	1	STABLE_ONLY	0.0549	2	True	
E3	coverage_session	1	STABLE_ONLY	0.05691	2	True	
E3	runway_phase_sec	0	CONFLICT_census_vs_measured	-0.05466	2	True	runway: room-to-travel is the capacity channel
E3	runway_sess_sec	0	CONFLICT_census_vs_measured	-0.05467	2	True	runway: room-to-travel is the capacity channel
E3	runway_frac	0	CONFLICT_census_vs_measured	-0.05453	2	True	runway: room-to-travel is the capacity channel
E3	phase_age_sec	1	STABLE_ONLY	0.05417	2	True	
E3	p033_product	-1	STABLE_ONLY	-0.02626	2	True	
E3	p033_sqrt	-1	STABLE_ONLY	-0.02626	2	True	
E3	clock_sec	1	STABLE_ONLY	0.04173	2	True	
E3	clock_sin	-1	STABLE_ONLY	-0.02418	2	True	
E3	dec_sec	1	STABLE_ONLY	0.05467	2	True	
E3	mins_to_release	1	STABLE_ONLY	0.04714	2	True	
E3	abs_mins_to_release	-1	STABLE_ONLY	-0.01271	2	True	
E3	post_news_10_20	1	STABLE_ONLY	0.03742	2	True	
E3	release_age_sec	1	STABLE_ONLY	0.04074	2	True	
E3	event_in_phase	1	STABLE_ONLY	0.07177	2	True	
E3	nd_in_census	1	STABLE_ONLY	0.04862	2	True	
E3	nd_mins_to_next	-1	STABLE_ONLY	-0.24396	2	True	
E3	nd_mins_since_any	1	STABLE_ONLY	0.24396	2	True	
E3	fev_n	1	STABLE_ONLY	0.09758	2	True	
E3	fev_vol	1	STABLE_ONLY	0.09763	2	True	
E3	n_conf_fam_at_refail	1	STABLE_ONLY	0.01509	2	True	
E3	n_conf_fam_at_refail_2t	1	STABLE_ONLY	0.01372	2	True	
E3	refail_dist_usd	1	STABLE_ONLY	0.02031	2	True	
E3	refail_age_sec	-1	STABLE_ONLY	-0.01245	2	True	
E3	pivot_age_sec	-1	STABLE_ONLY	-0.01779	2	True	
E3	n_level_fams	1	STABLE_ONLY	0.04392	2	True	
E3	thru_n	1	STABLE_ONLY	0.01992	2	True	
E3	thru_bid	1	STABLE_ONLY	0.02283	2	True	
E3	thru_ask	1	STABLE_ONLY	0.01824	2	True	
E3	fuel_above	1	STABLE_ONLY	0.0295	2	True	
E3	fuel_below	1	STABLE_ONLY	0.03014	2	True	
E3	fuel_total	1	STABLE_ONLY	0.0542	2	True	
E3	fuel_share_with	1	CENSUS+STABLE	0.16947	2	True	PASSIVE_MOVE 1.838 / OFM 1.413 (effort-vs-result)
E3	in_va	1	STABLE_ONLY	0.02562	2	True	
E3	xa_SI_age_sec	1	STABLE_ONLY	0.04988	2	True	
E3	xa_SI_rv1800	1	STABLE_ONLY	0.03416	2	True	
