# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE DOSE-RESPONSE CURVE: what a score of a given quality is worth, on the honest all-session denominator.
# QUALITY IS WITHIN-DAY RANK CORRELATION WITH THE CERTIFICATE, and that choice is forced by the ceiling probe rather than assumed: a threshold on the TRUE within-day RANK, carrying no dollar information at all, reaches 0.966-0.979 of the causal oracle against the true-DOLLAR prophet's 0.99-1.00.  The ordering is ~98% of the attainable value; calibration and dollar level are the remaining 2%.
# Corruption is a Gaussian-copula mixture on the within-day normal score, rho*z_true + sqrt(1-rho^2)*eps, 5 seeds.  The REALISED spearman is measured and reported; the target rho is only a knob.
# Each row is the MAX over the TAU x7 + DAYSOFAR x3 family at that quality.  It is an UPPER ENVELOPE and a BOUND, not a deployable claim, which is why it carries no search-adjusted null.
# Rows marked OBSERVED place this program's REAL columns on the same axis, so the required quality and the achieved quality are read off one table.
era	rho_target	spearman_within_day_MEASURED	spearman_global_MEASURED	usd_per_session_ALL	sd_usd	n_trades_total	n_era_sessions	best_policy	causal_oracle	capture_of_causal_oracle
E5	0.05	0.0477	0.0449	155.32	30.46	816.4	387	TAU_0.9	2021.0	0.0769
E5	0.1	0.0945	0.0889	282.84	39.92	823.8	387	DAYSOFAR_0.9	2021.0	0.1399
E5	0.15	0.1414	0.1329	429.3	43.63	864.4	387	TAU_0.95	2021.0	0.2124
E5	0.2	0.1883	0.1771	591.46	44.06	895.6	387	TAU_0.95	2021.0	0.2927
E5	0.3	0.2829	0.2659	868.02	56.3	873.4	387	TAU_0.975	2021.0	0.4295
E5	0.5	0.475	0.447	1366.41	24.47	910.8	387	TAU_0.95	2021.0	0.6761
E5	0.7	0.6735	0.6357	1662.39	24.2	878.8	387	TAU_0.975	2021.0	0.8226
E5	1.0	0.995	0.9456	1953.07	0.0	1089.0	387	TAU_0.7	2021.0	0.9664
E6	0.05	0.0459	0.042	153.25	46.76	720.2	384	TAU_0.95	2675.0	0.0573
E6	0.1	0.0927	0.0845	334.48	54.92	726.2	384	TAU_0.975	2675.0	0.125
E6	0.15	0.1394	0.1271	489.4	48.59	756.4	384	TAU_0.975	2675.0	0.183
E6	0.2	0.1864	0.1698	684.66	61.32	783.8	384	TAU_0.975	2675.0	0.2559
E6	0.3	0.2807	0.2558	1062.3	31.53	788.8	384	TAU_0.975	2675.0	0.3971
E6	0.5	0.4721	0.4312	1696.3	36.28	861.2	384	TAU_0.975	2675.0	0.6341
E6	0.7	0.6701	0.6142	2184.88	29.19	804.4	384	TAU_0.975	2675.0	0.8168
E6	1.0	0.9892	0.9149	2618.45	0.0	1073.0	384	TAU_0.7	2675.0	0.9789
E7	0.05	0.0459	0.0408	191.13	48.2	700.4	393	TAU_0.95	3360.0	0.0569
E7	0.1	0.0926	0.0818	370.5	44.82	732.2	393	TAU_0.95	3360.0	0.1103
E7	0.15	0.1393	0.1229	577.88	70.21	797.6	393	TAU_0.95	3360.0	0.172
E7	0.2	0.1861	0.1641	798.44	87.91	823.2	393	TAU_0.95	3360.0	0.2376
E7	0.3	0.2801	0.247	1276.34	101.54	826.0	393	TAU_0.99	3360.0	0.3799
E7	0.5	0.4712	0.416	2123.15	77.44	920.0	393	TAU_0.975	3360.0	0.6319
E7	0.7	0.6684	0.5918	2754.67	61.23	948.4	393	TAU_0.95	3360.0	0.8198
E7	1.0	0.9857	0.8797	3284.58	0.0	1141.0	393	TAU_0.7	3360.0	0.9776
E5	OBSERVED	-0.0329						S_XGB	2021.0	
E5	OBSERVED	-0.0125						S_XGB_DAYZ	2021.0	
E5	OBSERVED	-0.0123						H1_DAYRANK	2021.0	
E5	OBSERVED	0.0336						A_EV	2021.0	
E5	OBSERVED	0.0232						A_PBAR	2021.0	
E6	OBSERVED	-0.0023						S_XGB	2675.0	
E6	OBSERVED	0.018						S_XGB_DAYZ	2675.0	
E6	OBSERVED	-0.0208						H1_DAYRANK	2675.0	
E6	OBSERVED	0.0523						A_EV	2675.0	
E6	OBSERVED	0.0125						A_PBAR	2675.0	
E7	OBSERVED	-0.0372						S_XGB	3360.0	
E7	OBSERVED	-0.0169						S_XGB_DAYZ	3360.0	
E7	OBSERVED	-0.0364						H1_DAYRANK	3360.0	
E7	OBSERVED	0.0324						A_EV	3360.0	
E7	OBSERVED	0.0091						A_PBAR	3360.0	
