# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE FULL SWEEP BEHIND TRUE_CAUSAL_STATE.tsv: 66 policies x 8 score columns, 5 seeds, all-session denominators, in-sweep shuffled null on every cell.
# THE LEVEL FAMILIES (TAU x7, OCCUPANCY x3) RUN HERE FOR THE FIRST TIME ON PROPERLY-FITTED CALIBRATED TARGETS.  They were absent from ARRIVAL_FITTED.tsv because the fitted score columns existed only on eval rows, so their training-block reference was all-NaN and both families returned empty seat lists that were then silently dropped.
# S_TABPFN is in the column set on purpose: it is the only score with calibrated GLOBAL discrimination, which is the shape a level rule eats, and its earlier dismissal was measured against the within-cell objective the leak audit voided.
# THE LEAKY SECRETARY FAMILY IS DELIBERATELY ABSENT.  It is void, and carrying it would only widen the search-adjusted null the honest arms have to clear.
# SECDECL's grid is EXTENDED DOWNWARD (f from 0.05) because the era diagnosis says the cell's best arrives at ~26% of the phase clock.  The old grid began at 0.25 — at its own boundary.
mode	era	criterion	score_column	family	policy	n_seeds	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	n_trades_total	n_firing_sessions	n_era_sessions	usd_per_trade	top5_trade_share_of_pnl	shuffled_null	causal_oracle	capture_of_causal_oracle
eval	E4	context	A_EV_CAL	CELLSOFAR	CELLSOFAR_0.8	5	-45.65	20.77	-147.38	56.07	780.4	385.0	385	-22.68	0.081	-35.37	2133.0	-0.0214
eval	E4	context	A_EV_CAL	CELLSOFAR	CELLSOFAR_0.9	5	-47.63	15.57	-148.6	53.33	779.8	385.0	385	-23.59	0.081	-9.91	2133.0	-0.0223
eval	E4	context	A_EV_CAL	CELLSOFAR	CELLSOFAR_0.95	5	-39.2	15.43	-140.11	61.7	783.0	385.0	385	-19.36	0.077	-58.3	2133.0	-0.0184
eval	E4	context	A_EV_CAL	CELLSOFAR	CELLSOFAR_0.99	5	-41.52	15.29	-142.27	59.23	780.6	385.0	385	-20.55	0.077	-43.39	2133.0	-0.0195
eval	E4	context	A_EV_CAL	DAYSOFAR	DAYSOFAR_0.5	5	-15.36	36.24	-119.63	88.91	787.8	385.0	385	-7.75	0.085	-25.98	2133.0	-0.0072
eval	E4	context	A_EV_CAL	DAYSOFAR	DAYSOFAR_0.7	5	-14.37	41.57	-115.46	86.72	789.6	385.0	385	-7.27	0.081	-64.02	2133.0	-0.0067
eval	E4	context	A_EV_CAL	DAYSOFAR	DAYSOFAR_0.9	5	-20.7	40.23	-123.79	82.39	784.4	385.0	385	-10.45	0.08	-42.01	2133.0	-0.0097
eval	E4	context	A_EV_CAL	FIRST	FIRST_3	5	-80.87	0.0	-175.93	14.19	786.0	385.0	385	-39.61	0.083	-80.87	2133.0	-0.0379
eval	E4	context	A_EV_CAL	OCC_LEVEL	OCCUPANCY_0.5	5	-42.37	19.12	-135.7	50.97	584.2	377.8	385	-29.36	0.124	-46.32	2133.0	-0.0199
eval	E4	context	A_EV_CAL	OCC_LEVEL	OCCUPANCY_1	5	-32.0	35.5	-133.19	69.19	645.6	382.0	385	-18.56	0.105	-78.31	2133.0	-0.015
eval	E4	context	A_EV_CAL	OCC_LEVEL	OCCUPANCY_2	5	-15.76	54.44	-118.24	86.71	670.4	383.0	385	-5.58	0.096	-66.36	2133.0	-0.0074
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.05_0.3	5	-84.87	40.1	-185.71	15.97	758.0	385.0	385	-43.37	0.082	-96.8	2133.0	-0.0398
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.05_0.5	5	-82.85	33.93	-183.21	17.51	758.2	385.0	385	-42.3	0.079	-77.38	2133.0	-0.0388
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.05_0.65	5	-83.35	30.41	-184.03	17.34	759.6	385.0	385	-42.46	0.079	-87.72	2133.0	-0.0391
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.05_0.75	5	-83.9	34.19	-184.19	16.39	758.8	385.0	385	-42.77	0.079	-117.92	2133.0	-0.0393
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.05_0.9	5	-84.32	34.12	-184.54	15.9	759.4	385.0	385	-42.97	0.079	-106.82	2133.0	-0.0395
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.15_0.3	5	-76.19	24.21	-176.57	24.2	771.6	385.0	385	-38.1	0.089	-66.33	2133.0	-0.0357
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.15_0.5	5	-66.5	33.31	-170.4	37.41	772.4	385.0	385	-33.28	0.09	-55.38	2133.0	-0.0312
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.15_0.65	5	-70.78	29.18	-173.17	31.61	770.8	385.0	385	-35.44	0.091	-90.61	2133.0	-0.0332
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.15_0.75	5	-78.22	28.17	-180.01	23.56	772.2	385.0	385	-39.1	0.089	-38.87	2133.0	-0.0367
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.15_0.9	5	-73.88	25.64	-175.59	27.84	772.2	385.0	385	-36.94	0.091	-70.69	2133.0	-0.0346
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.1_0.3	5	-99.89	23.09	-201.33	1.56	745.2	385.0	385	-51.78	0.081	-103.3	2133.0	-0.0468
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.1_0.5	5	-98.8	22.09	-200.05	2.45	746.0	385.0	385	-51.14	0.081	-83.37	2133.0	-0.0463
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.1_0.65	5	-98.81	24.54	-200.77	3.14	746.0	385.0	385	-51.18	0.081	-99.4	2133.0	-0.0463
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.1_0.75	5	-103.87	21.67	-204.17	-3.57	745.6	385.0	385	-53.78	0.082	-85.1	2133.0	-0.0487
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.1_0.9	5	-102.68	21.25	-202.66	-2.71	745.8	385.0	385	-53.16	0.082	-113.94	2133.0	-0.0481
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.25_0.3	5	-31.54	28.91	-126.25	63.17	794.6	385.0	385	-15.34	0.071	-42.65	2133.0	-0.0148
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.25_0.5	5	-29.83	30.55	-124.43	64.78	793.0	385.0	385	-14.52	0.071	-60.48	2133.0	-0.014
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.25_0.65	5	-28.97	27.26	-123.37	65.44	793.6	385.0	385	-14.08	0.073	-99.56	2133.0	-0.0136
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.25_0.75	5	-34.07	28.19	-127.64	59.51	791.8	385.0	385	-16.61	0.07	-41.28	2133.0	-0.016
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.25_0.9	5	-33.34	24.91	-127.27	60.58	791.0	385.0	385	-16.24	0.07	-51.24	2133.0	-0.0156
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.2_0.3	5	-6.38	25.46	-104.75	91.98	780.2	385.0	385	-3.22	0.079	-51.1	2133.0	-0.003
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.2_0.5	5	-6.8	22.74	-105.32	91.73	779.4	385.0	385	-3.4	0.079	-40.07	2133.0	-0.0032
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.2_0.65	5	-11.5	26.89	-109.41	86.41	779.0	385.0	385	-5.73	0.08	-70.74	2133.0	-0.0054
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.2_0.75	5	-10.95	25.43	-109.13	87.23	779.2	385.0	385	-5.47	0.08	-56.25	2133.0	-0.0051
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.2_0.9	5	-10.94	22.75	-109.02	87.15	777.6	385.0	385	-5.46	0.08	-15.13	2133.0	-0.0051
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.35_0.3	5	17.29	17.78	-63.95	98.52	807.6	385.0	385	8.13	0.063	-37.22	2133.0	0.0081
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.35_0.5	5	20.22	18.5	-60.59	101.04	805.0	385.0	385	9.55	0.063	-41.73	2133.0	0.0095
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.35_0.65	5	18.16	19.25	-61.86	98.19	804.0	385.0	385	8.6	0.064	-26.16	2133.0	0.0085
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.35_0.75	5	21.94	18.21	-58.78	102.65	804.4	385.0	385	10.39	0.063	-47.77	2133.0	0.0103
eval	E4	context	A_EV_CAL	SECDECL	SECDECL_0.35_0.9	5	17.35	21.02	-62.92	97.62	800.0	385.0	385	8.26	0.064	-46.45	2133.0	0.0081
eval	E4	context	A_EV_CAL	SECNHAT	SECNHAT_0.05	5	5.25	25.72	-52.41	62.9	195.0	167.2	385	-19.66	0.304	-49.92	2133.0	0.0025
eval	E4	context	A_EV_CAL	SECNHAT	SECNHAT_0.1	5	-0.36	14.81	-51.14	50.43	151.4	133.2	385	-23.93	0.403	-12.68	2133.0	-0.0002
eval	E4	context	A_EV_CAL	SECNHAT	SECNHAT_0.15	5	7.0	19.73	-39.66	53.66	124.0	113.4	385	10.98	0.452	-17.59	2133.0	0.0033
eval	E4	context	A_EV_CAL	SECNHAT	SECNHAT_0.25	5	-11.91	14.22	-47.17	23.36	98.6	92.4	385	-27.75	0.484	-27.68	2133.0	-0.0056
eval	E4	context	A_EV_CAL	SECNHAT	SECNHAT_0.4	5	-8.66	3.72	-36.21	18.9	71.6	68.6	385	-54.55	0.558	-3.87	2133.0	-0.0041
eval	E4	context	A_EV_CAL	SECNHAT	SECNHAT_0.6	5	-5.28	10.32	-23.65	13.08	49.0	48.0	385	-74.86	0.621	-11.01	2133.0	-0.0025
eval	E4	context	A_EV_CAL	SECTIME	SECTIME_0.05	5	-10.21	27.55	-70.78	50.36	235.6	192.4	385	-45.25	0.263	-62.91	2133.0	-0.0048
eval	E4	context	A_EV_CAL	SECTIME	SECTIME_0.1	5	5.19	28.31	-50.92	61.31	192.6	164.2	385	-19.1	0.316	-8.09	2133.0	0.0024
eval	E4	context	A_EV_CAL	SECTIME	SECTIME_0.15	5	15.97	32.05	-36.6	68.55	159.4	138.8	385	3.2	0.386	-10.09	2133.0	0.0075
eval	E4	context	A_EV_CAL	SECTIME	SECTIME_0.25	5	-3.4	13.4	-38.13	31.33	109.8	100.8	385	-25.93	0.472	-36.35	2133.0	-0.0016
eval	E4	context	A_EV_CAL	SECTIME	SECTIME_0.4	5	-16.02	10.21	-32.63	0.59	64.0	61.0	385	-104.7	0.626	-6.08	2133.0	-0.0075
eval	E4	context	A_EV_CAL	SECTIME	SECTIME_0.6	5	-6.15	4.35	-17.3	4.99	38.6	37.0	385	-80.62	-0.269	-6.53	2133.0	-0.0029
eval	E4	context	A_EV_CAL	SECTIME_RE	SECTIME_RE_0.05	5	-10.21	27.55	-70.78	50.36	235.6	192.4	385	-45.25	0.263	-33.76	2133.0	-0.0048
eval	E4	context	A_EV_CAL	SECTIME_RE	SECTIME_RE_0.1	5	5.19	28.31	-50.92	61.31	192.6	164.2	385	-19.1	0.316	-24.96	2133.0	0.0024
eval	E4	context	A_EV_CAL	SECTIME_RE	SECTIME_RE_0.15	5	15.97	32.05	-36.6	68.55	159.4	138.8	385	3.2	0.386	-37.35	2133.0	0.0075
eval	E4	context	A_EV_CAL	SECTIME_RE	SECTIME_RE_0.25	5	-3.48	13.41	-38.2	31.24	110.0	100.8	385	-26.08	0.472	-23.29	2133.0	-0.0016
eval	E4	context	A_EV_CAL	SECTIME_RE	SECTIME_RE_0.4	5	-16.02	10.21	-32.63	0.59	64.0	61.0	385	-104.7	0.626	-14.42	2133.0	-0.0075
eval	E4	context	A_EV_CAL	SECTIME_RE	SECTIME_RE_0.6	5	-6.15	4.35	-17.3	4.99	38.6	37.0	385	-80.62	-0.269	-4.01	2133.0	-0.0029
eval	E4	context	A_EV_CAL	TAU_LEVEL	TAU_0.5	5	-37.73	33.98	-145.44	69.98	796.2	385.0	385	-18.4	0.073	-62.87	2133.0	-0.0177
eval	E4	context	A_EV_CAL	TAU_LEVEL	TAU_0.7	5	-37.73	33.98	-145.44	69.98	796.2	385.0	385	-18.4	0.073	-60.48	2133.0	-0.0177
eval	E4	context	A_EV_CAL	TAU_LEVEL	TAU_0.8	5	-37.73	33.98	-145.44	69.98	796.2	385.0	385	-18.4	0.073	-46.78	2133.0	-0.0177
eval	E4	context	A_EV_CAL	TAU_LEVEL	TAU_0.9	5	-37.73	33.98	-145.44	69.98	796.2	385.0	385	-18.4	0.073	-69.2	2133.0	-0.0177
eval	E4	context	A_EV_CAL	TAU_LEVEL	TAU_0.95	5	-43.08	33.03	-137.53	51.37	563.0	329.4	385	-28.46	0.123	-52.49	2133.0	-0.0202
eval	E4	context	A_EV_CAL	TAU_LEVEL	TAU_0.975	5	-43.08	33.03	-137.53	51.37	563.0	329.4	385	-28.46	0.123	-68.75	2133.0	-0.0202
eval	E4	context	A_EV_CAL	TAU_LEVEL	TAU_0.99	5	-43.08	33.03	-137.53	51.37	563.0	329.4	385	-28.46	0.123	-64.87	2133.0	-0.0202
eval	E4	context	A_EV_RAW	CELLSOFAR	CELLSOFAR_0.8	5	-36.81	24.1	-137.71	64.09	783.0	385.0	385	-18.21	0.077	-29.88	2133.0	-0.0173
eval	E4	context	A_EV_RAW	CELLSOFAR	CELLSOFAR_0.9	5	-61.45	24.46	-161.22	38.31	778.2	385.0	385	-30.57	0.075	-35.89	2133.0	-0.0288
eval	E4	context	A_EV_RAW	CELLSOFAR	CELLSOFAR_0.95	5	-71.31	29.7	-169.76	27.13	765.2	385.0	385	-36.05	0.08	-52.99	2133.0	-0.0334
eval	E4	context	A_EV_RAW	CELLSOFAR	CELLSOFAR_0.99	5	-66.66	50.89	-163.56	30.24	752.0	384.8	385	-34.46	0.081	-58.96	2133.0	-0.0313
eval	E4	context	A_EV_RAW	DAYSOFAR	DAYSOFAR_0.5	5	4.47	27.7	-89.71	98.66	783.0	385.0	385	2.13	0.074	-28.1	2133.0	0.0021
eval	E4	context	A_EV_RAW	DAYSOFAR	DAYSOFAR_0.7	5	-46.17	34.69	-140.79	48.45	767.6	385.0	385	-23.33	0.073	-42.4	2133.0	-0.0216
eval	E4	context	A_EV_RAW	DAYSOFAR	DAYSOFAR_0.9	5	-67.3	38.65	-159.27	24.67	734.2	384.2	385	-35.67	0.07	-17.28	2133.0	-0.0316
eval	E4	context	A_EV_RAW	FIRST	FIRST_3	5	-80.87	0.0	-175.93	14.19	786.0	385.0	385	-39.61	0.083	-80.87	2133.0	-0.0379
eval	E4	context	A_EV_RAW	OCC_LEVEL	OCCUPANCY_0.5	5	-13.66	19.85	-87.79	60.46	377.2	325.4	385	-13.61	0.145	-34.2	2133.0	-0.0064
eval	E4	context	A_EV_RAW	OCC_LEVEL	OCCUPANCY_1	5	-54.19	27.92	-130.61	22.24	408.0	345.0	385	-51.15	0.15	-24.08	2133.0	-0.0254
eval	E4	context	A_EV_RAW	OCC_LEVEL	OCCUPANCY_2	5	-55.32	25.84	-139.22	28.58	464.0	363.4	385	-45.52	0.119	-27.63	2133.0	-0.0259
eval	E4	context	A_EV_RAW	SECDECL	SECDECL_0.05_0.3	5	-98.33	38.92	-195.78	-0.89	765.0	385.0	385	-49.91	0.083	-50.09	2133.0	-0.0461
eval	E4	context	A_EV_RAW	SECDECL	SECDECL_0.05_0.5	5	-92.31	43.88	-189.68	5.05	764.8	385.0	385	-46.92	0.084	-104.79	2133.0	-0.0433
eval	E4	context	A_EV_RAW	SECDECL	SECDECL_0.05_0.65	5	-94.15	44.12	-192.08	3.78	765.0	385.0	385	-47.72	0.085	-69.22	2133.0	-0.0441
eval	E4	context	A_EV_RAW	SECDECL	SECDECL_0.05_0.75	5	-106.14	41.04	-201.66	-10.63	761.8	385.0	385	-54.0	0.086	-92.03	2133.0	-0.0498
eval	E4	context	A_EV_RAW	SECDECL	SECDECL_0.05_0.9	5	-103.09	34.06	-198.23	-7.95	753.6	385.0	385	-52.91	0.087	-99.46	2133.0	-0.0483
eval	E4	context	A_EV_RAW	SECDECL	SECDECL_0.15_0.3	5	-75.21	35.42	-168.8	18.37	770.8	385.0	385	-37.86	0.088	-71.42	2133.0	-0.0353
