# PORT M3 M3.2 walk-forward evaluation (expanding-window era ladder) (harness=PORT-M3-HARNESS-V1; m2_spec_sha16=f6ef73a41dbf8588)
# params_hash=e800e849078628d09e1f07eacc8ec2146c571d1b7008f0314d0365fbe4b85075
# D-084(b): the era's model is FROZEN at the break (it was fitted on pre-break eras only), so this measures the ADAPTATION DEBT — how many sessions of the post-break era pass before the pre-break model's trailing capture reaches the level it eventually sustains there
# sessions_to_recover uses a trailing window of min(t, 20) sessions; sessions_to_recover_full_window requires the full 20-session window, so its floor is 20 by construction
break	era	scope	n_sessions	era_achievable_capture	sessions_to_recover	sessions_to_recover_full_window
2021_metal_fade	E1	POOLED	393	0.048200	7	38
2021_metal_fade	E1	SI	131	0.020000	1	25
2021_metal_fade	E1	HG	131	0.068700	3	31
2021_metal_fade	E1	NKD	131	0.057900	4	20
2022_rate_shock	E2	POOLED	384	0.100700	1	33
2022_rate_shock	E2	SI	128	0.106200	1	20
2022_rate_shock	E2	HG	128	0.119700	1	20
2022_rate_shock	E2	NKD	128	0.076400	1	33
2023_chop_onset	E4	POOLED	385	0.100800	1	20
2023_chop_onset	E4	SI	128	0.121400	7	20
2023_chop_onset	E4	HG	128	0.071800	1	20
2023_chop_onset	E4	NKD	129	0.101700	1	20
2024_trend_onset	E6	POOLED	384	0.087700	11	24
2024_trend_onset	E6	SI	128	0.053800	2	20
2024_trend_onset	E6	HG	128	0.070200	2	39
2024_trend_onset	E6	NKD	128	0.142700	4	20
