# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
# Pooled over eras SESSION-WEIGHTED (the only pooling that agrees with the $/session headline).  Ranked within book by pooled_d_usd_per_session.
# verdict: PROMOTE = pooled delta positive AND it beats its own displaced-time control AND it is positive in >=4 of the 5 eras.  MIXED = positive pooled but fails one of those.  KILLED = the pooled delta is not positive.
# SELECTION HONESTY: this ranks ~40 rules on the same E3-E7 sample the entries were developed on.  A rule that only just clears zero here is a draw from a search, not a finding; the ADOPTION decision is the user's (D-029).
book_tau	family	rule	knob	n_eras	n_sessions	n_seats	pooled_usd_per_session	pooled_d_usd_per_session	pooled_d_usd_per_trade	pooled_d_displaced	pooled_d_minus_displaced	n_eras_positive	worst_era_delta	best_era_delta	pooled_d_win_rate	pooled_d_wall_stopped	pooled_d_frac_dd_over_1000	hold_min_s_over_eras	mean_frac_triggered	pooled_capture_of_ceiling	pooled_capture_of_full_ceiling	verdict
0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.20ATR	reclaim level lost by 0.20 ATR	5	810	1028	852.58	-4.35	-3.71	-87.94	83.59	1	-37.77	5.16	-0.005	-0.0043	0.0	436	0.0269	0.2736	0.347	KILLED
0.70	1-MID-HOLD-DISQ	MHD_BELOW600_AND_FLOW05	-$600 AND flow (later of the two)	5	810	1028	849.41	-7.52	-5.97	-82.97	75.45	1	-15.11	0.97	-0.0028	-0.0043	0.0	436	0.027	0.273	0.3468	KILLED
0.70	1-MID-HOLD-DISQ	MHD_BELOW600	sits below -$600	5	810	1028	849.15	-7.78	-6.19	-96.77	88.99	1	-15.26	0.97	-0.0028	-0.0043	0.0	436	0.027	0.2729	0.3467	KILLED
0.70	4-TIME-DECAY	TIME180_T150	at entry+180min below +$150 -> exit at market	5	810	1028	835.82	-21.11	-17.19	-85.45	64.34	0	-44.95	-7.05	-0.0091	0.0	0.0	436	0.1099	0.2682	0.3404	KILLED
0.70	1-MID-HOLD-DISQ	MHD_BELOW400	sits below -$400	5	810	1028	823.25	-33.68	-25.66	-101.07	67.39	0	-69.46	-9.51	-0.0202	-0.0043	0.0	436	0.0607	0.2651	0.3373	KILLED
0.70	4-TIME-DECAY	TIME180_T300	at entry+180min below +$300 -> exit at market	5	810	1028	817.66	-39.27	-31.11	-94.25	54.98	0	-53.19	-29.35	0.003	0.0	0.0	436	0.2208	0.2618	0.3315	KILLED
0.70	1-MID-HOLD-DISQ	MHD_STRUCT10_AND_FLOW05	struct .10 AND flow (later of the two)	5	810	1028	812.18	-44.74	-35.21	-106.52	61.77	0	-55.04	-5.16	-0.0347	-0.0043	0.0	436	0.0933	0.2602	0.3297	KILLED
0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.10ATR	reclaim level lost by 0.10 ATR	5	810	1028	811.25	-45.68	-35.91	-99.19	53.51	0	-55.78	-2.31	-0.0366	-0.0043	0.0	436	0.0933	0.2598	0.329	KILLED
0.70	5-COMBINATION	CMB_B600_TIME180_300	-$600 cut OR time-decay(180min,+$300)	5	810	1028	809.33	-47.59	-37.74	-103.88	56.29	0	-61.7	-43.5	0.0001	-0.0043	0.0	436	0.234	0.2594	0.3287	KILLED
0.70	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B1200	half off at +$1200, remainder to phase close	5	810	1028	805.83	-51.09	-38.19	-85.58	34.49	1	-124.62	48.07	0.0038	0.0	0.0	436	0.2976	0.2607	0.3328	KILLED
