# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE DENOMINATOR IS FIXED HERE TOO: usd_per_session_ALL counts every session in the era, a non-trading session contributing $0.  usd_per_FIRING_session is the incumbent's quantity and is what produced the $1,261.25 headline out of 1.8 trades.
# THE SECRETARY FAMILY WAS NOT CAUSAL.  `arrival.seats_secretary` sets its observation window to k = round(frac * m) where m is the cell's EVENTUAL arrival count — a quantity the arrival second cannot know.  Rows marked LOOKAHEAD_m are the incumbent form and are VOID FOR DEPLOYMENT for the same reason `top_per_cell_score` was.  Every headline number the program has printed since the respecification is one of those rows.
# SECTIME_f is the causal replacement on the PHASE CLOCK: observe until t_first_arrival + f x (phase_close - t_first_arrival), both known at the first arrival (the phase close is a schedule fact).
# SECNHAT_f is the causal replacement on a COUNT: observe the first round(f x n_hat) arrivals, n_hat = the TRAINING BLOCK's mean cell size for that (asset, phase).
# SECDECL_f_p is the HYBRID the seated-vs-selected diagnosis asked for: causal-clock observation, then a bar that starts at the running max and falls linearly in phase time to the p-quantile of what has been observed.  SECRETARY x OCCUPANCY.
# top5_trade_share_of_pnl is the CONCENTRATION CHECK: the share of an arm's whole realised P&L carried by its five best trades.  A policy seating ~1 position per session over ~390 sessions whose top five trades carry most of the money is a lottery ticket, not an edge, whatever its mean reads.
# PROPHET rows are the same rules driven by the candidate's TRUE certificate — the rule-shape ceiling, HINDSIGHT, never deployable.
mode	era	criterion	target	policy	causality	usd_per_session_ALL	sd_usd	usd_per_FIRING_session	n_firing_sessions	n_era_sessions	n_trades_total	usd_per_trade	top5_trade_share_of_pnl	shuffled_null	causal_oracle	capture_of_causal_oracle	aim_08causal	gap_to_aim
eval	E5	BINDING	A_EV	OCCUPANCY_0.5	causal	-60.74	26.39	-65.15	360.2	387	431.8	-54.34	0.164	-52.91	2021.0	-0.0301	1616.8	-1677.54
eval	E5	BINDING	A_EV	OCCUPANCY_1	causal	-65.27	21.18	-67.69	373.0	387	461.4	-54.69	0.16	-96.26	2021.0	-0.0323	1616.8	-1682.07
eval	E5	BINDING	A_EV	OCCUPANCY_2	causal	-48.18	22.18	-49.65	375.6	387	499.6	-37.63	0.142	-38.1	2021.0	-0.0238	1616.8	-1664.98
eval	E5	BINDING	A_EV	SECDECL_0.25_0.5	causal	-58.96	26.12	-58.96	387.0	387	813.4	-28.07	0.067	-75.64	2021.0	-0.0292	1616.8	-1675.76
eval	E5	BINDING	A_EV	SECDECL_0.25_0.75	causal	-43.6	19.98	-43.6	386.8	387	776.2	-21.76	0.075	-46.65	2021.0	-0.0216	1616.8	-1660.4
eval	E5	BINDING	A_EV	SECDECL_0.25_0.9	causal	-36.15	20.99	-36.31	385.4	387	734.6	-19.02	0.078	-67.57	2021.0	-0.0179	1616.8	-1652.95
eval	E5	BINDING	A_EV	SECDECL_0.5_0.5	causal	-42.62	16.5	-42.62	387.0	387	831.4	-19.89	0.08	-90.08	2021.0	-0.0211	1616.8	-1659.42
eval	E5	BINDING	A_EV	SECDECL_0.5_0.75	causal	-31.41	10.13	-31.7	383.6	387	722.0	-16.91	0.084	-63.39	2021.0	-0.0155	1616.8	-1648.21
eval	E5	BINDING	A_EV	SECDECL_0.5_0.9	causal	-27.55	19.1	-28.88	370.0	387	615.0	-17.32	0.099	-37.66	2021.0	-0.0136	1616.8	-1644.35
eval	E5	BINDING	A_EV	SECDECL_0.6_0.5	causal	-18.41	16.0	-18.47	386.0	387	797.0	-9.01	0.087	-66.2	2021.0	-0.0091	1616.8	-1635.21
eval	E5	BINDING	A_EV	SECDECL_0.6_0.75	causal	-15.65	15.59	-16.02	379.0	387	676.8	-9.06	0.099	-47.48	2021.0	-0.0077	1616.8	-1632.45
eval	E5	BINDING	A_EV	SECDECL_0.6_0.9	causal	-17.8	16.34	-19.34	356.8	387	556.4	-12.43	0.113	-33.49	2021.0	-0.0088	1616.8	-1634.6
eval	E5	BINDING	A_EV	SECDECL_0.7_0.5	causal	-28.73	8.83	-28.93	384.4	387	743.6	-14.96	0.111	-40.89	2021.0	-0.0142	1616.8	-1645.53
eval	E5	BINDING	A_EV	SECDECL_0.7_0.75	causal	-27.86	11.91	-29.18	369.2	387	619.8	-17.33	0.121	-48.34	2021.0	-0.0138	1616.8	-1644.66
