# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# TWO DEFECTS ARE FIXED IN THIS TABLE AND BOTH CHANGE THE HEADLINE.
# (1) THE DENOMINATOR.  `newobj.replay_delayed` emits one row per session THAT TRADED, and `read_rows` averages over exactly those, so every `usd_per_session` this program has printed for an ABSTAINING rule is conditional on trading.  usd_per_session_ALL is the honest figure: non-trading sessions contribute $0 and the mean is over the era's real session count.  usd_per_FIRING_session is the incumbent's quantity, kept beside it so the two are never confused again.  n_trades_total is the count that makes the difference legible.
# (2) THE MISSING FAMILIES.  `ARRIVAL_FITTED.tsv` carried 20 of these 30 policies: the fitted score columns were written only on eval rows, so `seats_tau`/`seats_occupancy` found an all-NaN training block, returned an empty seat list, and were dropped by `if not real: continue`.  Every LEVEL-consuming rule was missing from the table built to measure a calibrated LEVEL — OCCUPANCY among them, the declining-bar rule the seated-vs-selected diagnosis named as the medicine and which the journal recorded as already in flight.
# A POLICY THAT SEATS NOTHING NOW PRINTS A ROW READING $0.00 AT 0.000 seats/session instead of vanishing.
# REPLAYED ON THE ERA'S EVAL ROWS.  Reading the maximum of this table as an achievement is the winner's curse; see KNOB_HONESTY.tsv.
# Scores are the incumbent's own ISOTONICALLY CALIBRATED columns, extended to cover the training block (CALEV, verified to reproduce the incumbent's eval-row values exactly).  The inner table uses CALIN — the same map fitted on the inner TRAIN days — so the selector is out-of-sample in the same way the eval read is.
era	criterion	target	policy	knob	n_seeds	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	usd_per_FIRING_session	n_firing_sessions	n_era_sessions	n_trades_total	usd_per_trade	seats_per_session	shuffled_null	causal_oracle	capture_of_causal_oracle	aim_08causal	gap_to_aim
E5	BINDING	A_EV	CELLSOFAR_0.8	0.8	5	-0.73	15.4	-110.5	109.04	-0.73	387.0	387	791.0	-0.36	2.0439	-88.72	2021.0	-0.0004	1616.8	-1617.53
E5	BINDING	A_EV	CELLSOFAR_0.9	0.9	5	-2.36	26.06	-107.07	102.35	-2.36	387.0	387	790.6	-1.15	2.0429	-56.15	2021.0	-0.0012	1616.8	-1619.16
E5	BINDING	A_EV	CELLSOFAR_0.95	0.95	5	-26.83	28.39	-128.87	75.21	-26.83	387.0	387	784.8	-13.16	2.0279	-79.24	2021.0	-0.0133	1616.8	-1643.63
E5	BINDING	A_EV	CELLSOFAR_0.99	0.99	5	-20.6	26.97	-123.41	82.21	-20.63	386.8	387	777.0	-10.21	2.0078	-47.96	2021.0	-0.0102	1616.8	-1637.4
E5	BINDING	A_EV	DAYSOFAR_0.5	0.5	5	-33.84	20.78	-135.56	67.87	-33.84	387.0	387	780.0	-16.88	2.0155	36.27	2021.0	-0.0167	1616.8	-1650.64
E5	BINDING	A_EV	DAYSOFAR_0.7	0.7	5	-18.76	22.28	-117.72	80.19	-18.76	387.0	387	782.4	-9.34	2.0217	-10.04	2021.0	-0.0093	1616.8	-1635.56
E5	BINDING	A_EV	DAYSOFAR_0.9	0.9	5	-35.62	25.82	-129.45	58.21	-35.66	386.4	387	747.4	-18.55	1.9313	-67.01	2021.0	-0.0176	1616.8	-1652.42
E5	BINDING	A_EV	FIRST_3		5	-59.96	0.0	-158.54	38.61	-59.96	387.0	387	775.0	-29.94	2.0026	-59.96	2021.0	-0.0297	1616.8	-1676.76
E5	BINDING	A_EV	OCCUPANCY_0.5	0.5	5	-60.74	26.39	-125.49	4.01	-65.15	360.2	387	431.8	-54.34	1.1158	-16.12	2021.0	-0.0301	1616.8	-1677.54
E5	BINDING	A_EV	OCCUPANCY_1	1.0	5	-65.27	21.18	-136.49	5.95	-67.69	373.0	387	461.4	-54.69	1.1922	-35.27	2021.0	-0.0323	1616.8	-1682.07
