# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# N6 (stop-and-reverse) and N3 (re-entry) priced at the WALL SECOND on the deployed folded members.  MECHANICAL RULES, NOT FORECASTS — there is no fitted quantity in this table, so these are what the rules would have paid, not bounds a model must earn.
# RED FIRST: the INCUMBENT_STOP arm rebuilds the seat sequence with no second leg and MUST equal stacked_final.apply_stop(STOP_WALL1) to the cent; the run REFUSES otherwise.
# THE ADOPTED FIRST-WALL STOP AND THESE IDEAS CONFLICT BY CONSTRUCTION, so each is priced BOTH with the stop still armed after the second leg and with the second leg replacing it.  NO_STOP_AT_ALL is the fourth corner and is a RISK-CONTRACT question (D-030 drawdown), never adopted on dollars alone.
# THE SEAT IS FREE BY CONSTRUCTION: S1b measured the compliant book SATURATED at the phase close (0.000 forfeits/session), and a wall is the one event that releases a position early.  The second leg spends only that released time, so the <=10 trades/day cap is never touched.
era	criterion	arm	n_seeds	usd_per_session	sd_usd	seats_per_session	second_legs_per_session	entry_foresight_ceiling	capture_of_ceiling	aim_08ceiling	gap_to_aim	delta_vs_incumbent	delta_minus_sd	promotes
E5	BINDING	INCUMBENT_STOP	5	1126.45	26.59	2.717	0.0	2582.61	0.4362	2066.09	-939.64	0.0	-26.59	no
E5	BINDING	N6_REVERSE_THEN_STOP	5	1125.07	26.85	2.751	0.034	2582.61	0.4356	2066.09	-941.02	-1.38	-28.23	no
E5	BINDING	N6_REVERSE_NO_STOP	5	1221.48	22.85	3.046	0.046	2582.61	0.473	2066.09	-844.61	95.03	72.19	YES
E5	BINDING	N3_REENTER_THEN_STOP	5	1126.96	26.51	2.751	0.034	2582.61	0.4364	2066.09	-939.13	0.51	-25.99	no
E5	BINDING	N3_REENTER_NO_STOP	5	1234.01	21.11	3.046	0.046	2582.61	0.4778	2066.09	-832.07	107.57	86.46	YES
E5	BINDING	NO_STOP_AT_ALL	5	1225.64	21.42	3.0	0.0	2582.61	0.4746	2066.09	-840.45	99.19	77.77	YES
E6	BINDING	INCUMBENT_STOP	5	1127.57	458.73	2.476	0.0	3366.93	0.3349	2693.55	-1565.98	0.0	-458.73	no
E6	BINDING	N6_REVERSE_THEN_STOP	5	1099.88	453.72	2.64	0.164	3366.93	0.3267	2693.55	-1593.67	-27.69	-481.41	no
E6	BINDING	N6_REVERSE_NO_STOP	5	1291.81	374.31	3.219	0.219	3366.93	0.3837	2693.55	-1401.74	164.24	-210.07	no
E6	BINDING	N3_REENTER_THEN_STOP	5	1151.47	475.4	2.64	0.164	3366.93	0.342	2693.55	-1542.08	23.9	-451.5	no
E6	BINDING	N3_REENTER_NO_STOP	5	1354.61	412.29	3.219	0.219	3366.93	0.4023	2693.55	-1338.93	227.05	-185.24	no
E6	BINDING	NO_STOP_AT_ALL	5	1331.37	381.79	3.0	0.0	3366.93	0.3954	2693.55	-1362.17	203.81	-177.99	no
E7	BINDING	INCUMBENT_STOP	5	1633.52	16.29	2.563	0.0	4085.25	0.3999	3268.2	-1634.68	0.0	-16.29	no
E7	BINDING	N6_REVERSE_THEN_STOP	5	1559.86	16.14	2.718	0.155	4085.25	0.3818	3268.2	-1708.34	-73.66	-89.8	no
E7	BINDING	N6_REVERSE_NO_STOP	5	1743.32	14.75	3.216	0.216	4085.25	0.4267	3268.2	-1524.88	109.8	95.05	YES
E7	BINDING	N3_REENTER_THEN_STOP	5	1691.52	23.57	2.718	0.155	4085.25	0.4141	3268.2	-1576.68	58.0	34.43	YES
E7	BINDING	N3_REENTER_NO_STOP	5	1921.52	25.43	3.216	0.216	4085.25	0.4704	3268.2	-1346.68	288.0	262.57	YES
