# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE LEAK AUDIT'S OWN TABLE, CORRECTED.  Exact arithmetic; it printed n_sessions, so no replay is needed.
# WHAT THIS DOES NOT CHANGE: the audit's VERDICT.  DEPLOYED_CELL_ARGMAX fires in every session, so its level is uncorrected, and `delta_vs_deployed` was computed by `paired_delta`, which unions the session keys and zero-fills — the one denominator-safe construction that already existed in the engine.  The seating lookahead is voided by the deltas, and the deltas were always honest.
# WHAT IT DOES CHANGE: the causal arms' LEVELS.  CAUSAL_TAU_ORACLE was published as an UPPER BOUND on any threshold-shaped causal rule; on the honest denominator that bound is far lower than printed, because it was earned in 128-154 sessions of 385-390.
era	arm	n_firing_sessions	n_era_sessions	firing_rate	usd_per_session_AS_PUBLISHED	usd_per_session_ALL_CORRECTED	correction	usd_per_trade_AS_PUBLISHED	delta_vs_deployed_ALREADY_SAFE	status
E3	DEPLOYED_CELL_ARGMAX	390	390	1.0	684.52	684.52	0.0	225.47	0.0	unchanged (fires every session)
E3	CAUSAL_FIRST_ARRIVAL	390	390	1.0	-219.28	-219.28	0.0	-73.09	-903.79	unchanged (fires every session)
E3	CAUSAL_TAU_ORACLE	154	390	0.3949	48.62	19.2	-29.42	34.83	-665.32	ABSTAINING — the published level is conditional on trading
E3	CAUSAL_TAU_RATEMATCH	390	390	1.0	-205.64	-205.64	0.0	-68.49	-890.15	unchanged (fires every session)
E3	CAUSAL_SECRETARY_BEST_K	284	390	0.7282	91.67	66.75	-24.92	56.97	-617.76	ABSTAINING — the published level is conditional on trading
E3	DEPLOYED_MULTI_CELLS	390	390	1.0	684.52	684.52	0.0	225.47		unchanged (fires every session)
E4	DEPLOYED_CELL_ARGMAX	385	385	1.0	1009.3	1009.3	0.0	336.43	0.0	unchanged (fires every session)
E4	CAUSAL_FIRST_ARRIVAL	385	385	1.0	-114.54	-114.54	0.0	-38.31	-1123.84	unchanged (fires every session)
E4	CAUSAL_TAU_ORACLE	128	385	0.3325	209.18	69.55	-139.63	162.27	-939.76	ABSTAINING — the published level is conditional on trading
E4	CAUSAL_TAU_RATEMATCH	385	385	1.0	-50.12	-50.12	-0.0	-16.72	-1059.42	unchanged (fires every session)
E4	CAUSAL_TAU_PREV_ERA	128	385	0.3325	209.18	69.55	-139.63	162.27	-939.76	ABSTAINING — the published level is conditional on trading
E4	CAUSAL_SECRETARY_BEST_K	89	385	0.2312	125.06	28.91	-96.15	118.4	-980.39	ABSTAINING — the published level is conditional on trading
E4	DEPLOYED_MULTI_CELLS	385	385	1.0	1009.3	1009.3	0.0	336.43		unchanged (fires every session)
E5	DEPLOYED_CELL_ARGMAX	387	387	1.0	1121.37	1121.37	0.0	373.79	0.0	unchanged (fires every session)
E5	CAUSAL_FIRST_ARRIVAL	387	387	1.0	-64.0	-64.0	0.0	-21.35	-1185.37	unchanged (fires every session)
E5	CAUSAL_TAU_ORACLE	387	387	1.0	14.97	14.97	0.0	4.99	-1106.4	unchanged (fires every session)
E5	CAUSAL_TAU_RATEMATCH	387	387	1.0	9.84	9.84	0.0	3.28	-1111.53	unchanged (fires every session)
