# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE REPO-WIDE INDEX OF THE FIRING-SESSION DIVISOR.  `newobj.replay_delayed` emits a row only for sessions that traded and `read_rows` averages over exactly those, so every $/session figure for an ABSTAINING arm is conditional on trading.  74 of the 77 `read_rows` call sites in /workspace/engine feed it an unpadded replay; the three that do not are this file's own.
# THE ONE THING THAT MAKES THIS TRACTABLE: everything outside the arrival lane is ALREADY void for deployment on the seating defect, so its dollars were never claimable and the divisor is a second independent void rather than a number to repair.  The load-bearing set is small and is corrected in PROPHET_DENOMINATOR_CORRECTION.tsv, DENOMINATOR_AUDIT_CAUSAL_BASELINE.tsv and the TRUE_* tables.
# THE WORST SINGLE SITE IS harvest.py:439 (`stage_abstain`), which SWEEPS TAU TO MAXIMISE `read_rows(...)['usd_per_session']` on the inner block — the selection objective IS the conditional mean, so that search is biased toward whichever arm abstains most.
# TWO CORRECTIONS TO WHAT THIS PROGRAM BELIEVED.  (a) LEAK_SEATING.tsv's causal arms DO carry the divisor — CAUSAL_TAU_ORACLE reads n_sessions 154/128/126 against a DEPLOYED_CELL_ARGMAX at 390/385/387 in the same column.  Only its `delta_vs_deployed` column is denominator-safe, via `leak_seating.paired_delta`, which unions the session keys and zero-fills.  (b) `newobj.paired_sessions` INTERSECTS the two session sets, so any paired delta between an abstaining arm and a full arm was computed only over sessions both of them traded.
# THE BAR ITSELF IS SOUND, AND THAT IS NOW VERIFIED RATHER THAN ASSERTED.  The causal oracle (E5 $2,021 / E6 $2,675 / E7 $3,360) has NO WRITER ANYWHERE IN /workspace/engine — it exists only as prose in LEAK_AUDIT.md and as a hardcoded dict in `arrival.CAUSAL_ORACLE`, which is a provenance gap in the one number every capture ratio divides by.  It is confirmed here INDEPENDENTLY: the prophet TAU sweep on the honest all-session denominator returns $2,005.87 / $2,656.24 / $3,363.45, matching to 0.8% / 0.7% / 0.1%.  Two separately-computed quantities, one of them denominator-verified, agreeing to within 1% is strong evidence the audit's 'denominator held fixed' claim was true.  The prophet TAU sweep is now the reproducible writer for it.
table	class	n_per_session_columns	per_session_columns	session_count_columns	verdict
ARRIVAL_CAUSAL_SECRETARY.tsv	FIXED	1	usd_per_session_ALL	n_firing_sessions;n_era_sessions	written by this audit with all-session denominators
ARRIVAL_FITTED.tsv	AFFECTED_LOAD_BEARING	2	usd_per_session;seats_per_session		post-respecification and STILL LOAD-BEARING — NOT correctable from the file: no session count was ever printed; needs a replay
ARRIVAL_FITTED2.tsv	FIXED	2	usd_per_session_ALL;seats_per_session	n_firing_sessions;n_era_sessions	written by this audit with all-session denominators
ARRIVAL_FITTED2_RAWCOL.tsv	FIXED	2	usd_per_session_ALL;seats_per_session	n_firing_sessions;n_era_sessions	written by this audit with all-session denominators
ARRIVAL_INNER.tsv	FIXED	2	usd_per_session_ALL;seats_per_session	n_firing_sessions;n_era_sessions	written by this audit with all-session denominators
ARRIVAL_INNER_RAWCOL.tsv	FIXED	2	usd_per_session_ALL;seats_per_session	n_firing_sessions;n_era_sessions	written by this audit with all-session denominators
ARRIVAL_PROPHET.tsv	AFFECTED_LOAD_BEARING	2	usd_per_session;seats_per_session	n_sessions	post-respecification and STILL LOAD-BEARING — correctable from the file (carries n_sessions)
ARRIVAL_ZOO.tsv	AFFECTED_LOAD_BEARING	2	usd_per_session;seats_per_session		post-respecification and STILL LOAD-BEARING — NOT correctable from the file: no session count was ever printed; needs a replay
CAPTURE_CONFIGURATION.tsv	AFFECTED_ALREADY_VOID	2	takes_per_session;usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
CAUSAL_BASELINE.tsv	AFFECTED_LOAD_BEARING	2	usd_per_session;seats_per_session		post-respecification and STILL LOAD-BEARING — NOT correctable from the file: no session count was ever printed; needs a replay
CAUSAL_STATE.tsv	FIXED	1	usd_per_session_ALL	n_era_sessions	written by this audit with all-session denominators
CONFIDENCE_AGREEMENT.tsv	AFFECTED_ALREADY_VOID	2	takes_per_session;usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
CONFIDENCE_AGREEMENT_CEIL.tsv	AFFECTED_ALREADY_VOID	2	takes_per_session;usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
CONFIDENCE_COMBINED.tsv	AFFECTED_ALREADY_VOID	2	takes_per_session;usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
CONFIDENCE_ISOTONIC.tsv	AFFECTED_ALREADY_VOID	2	takes_per_session;usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
CONFIDENCE_RISKADJ.tsv	AFFECTED_ALREADY_VOID	2	takes_per_session;usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
CURRICULUM_STACKED.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
DEFICIT_CALIBRATION.tsv	AFFECTED_ALREADY_VOID	1	usd_per_session		PRE-RESPECIFICATION: already VOID_FOR_DEPLOYMENT because it seats the cell's EVENTUAL argmax.  The denominator is a SECOND independent void, not a repairable defect
