# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# H1 = the champion's OWN ranking objective regrouped from CELL to (asset, DAY), labels = within-day certificate grades.  The rule that wins compares within DAY while the champion is trained within CELL — mismatched by exactly one level of the hierarchy.
# H2 = S_XGB_DAYZ, the folded score standardised causally against the DAY'S OWN PAST arrivals (expanding mean/sd, warmup 10).  TAUZ is the absolute-threshold level rule that a z-score makes possible without any training-block reference.
# ORACLE_DAYRANK is the HINDSIGHT ceiling probe: the true within-day certificate rank.  It separates 'the rule needs the day-RANK' from 'the rule needs the dollar LEVEL'.
# H1_DAYRANK is fitted HERE and therefore predicted over tr | ev, so it carries TRAINING-BLOCK COVERAGE and can run the LEVEL families that the deployed column structurally cannot.
# NOT_RUN rows are policies that could not execute because an input was absent.  They are never $0.00, and they are excluded from both the selection and the search-adjusted null.
mode	era	score_column	family	policy	status	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	n_trades_total	n_firing_sessions	n_era_sessions	top5_trade_share_of_pnl	shuffled_null	causal_oracle	capture_of_causal_oracle	not_run_reason
eval	E3	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.8	ran	1537.4	0.0	1388.96	1685.84	1074.0	390.0	390	0.038	-114.11	2348.0	0.6548	
eval	E3	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.9	ran	1548.29	0.0	1404.1	1692.48	1021.0	389.0	390	0.039	-182.18	2348.0	0.6594	
eval	E3	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.95	ran	1492.69	0.0	1362.08	1623.3	980.0	388.0	390	0.038	-136.08	2348.0	0.6357	
eval	E3	ORACLE_DAYRANK	CELLSOFAR	CELLSOFAR_0.99	ran	1443.49	0.0	1322.79	1564.2	930.0	385.0	390	0.039	-82.79	2348.0	0.6148	
eval	E3	ORACLE_DAYRANK	DAYSOFAR	DAYSOFAR_0.5	ran	1725.33	0.0	1561.53	1889.14	1069.0	390.0	390	0.036	-139.77	2348.0	0.7348	
eval	E3	ORACLE_DAYRANK	DAYSOFAR	DAYSOFAR_0.7	ran	2065.26	0.0	1909.95	2220.57	1097.0	390.0	390	0.031	-85.2	2348.0	0.8796	
eval	E3	ORACLE_DAYRANK	DAYSOFAR	DAYSOFAR_0.9	ran	2019.48	0.0	1871.2	2167.76	893.0	385.0	390	0.032	-99.44	2348.0	0.8601	
eval	E3	ORACLE_DAYRANK	OCC_LEVEL	OCCUPANCY_0.5	ran	1721.93	0.0	1601.89	1841.96	576.0	389.0	390	0.04	-43.0	2348.0	0.7334	
eval	E3	ORACLE_DAYRANK	OCC_LEVEL	OCCUPANCY_1	ran	1613.97	0.0	1504.19	1723.75	584.0	389.0	390	0.037	-44.61	2348.0	0.6874	
eval	E3	ORACLE_DAYRANK	OCC_LEVEL	OCCUPANCY_2	ran	1725.27	0.0	1607.97	1842.57	619.0	389.0	390	0.038	-84.54	2348.0	0.7348	
eval	E3	ORACLE_DAYRANK	SECTIME	SECTIME_0.05	ran	1390.53	0.0	1257.43	1523.64	886.0	381.0	390	0.037	-125.99	2348.0	0.5922	
eval	E3	ORACLE_DAYRANK	SECTIME	SECTIME_0.1	ran	1415.54	0.0	1282.23	1548.86	830.0	377.0	390	0.037	-89.93	2348.0	0.6029	
eval	E3	ORACLE_DAYRANK	SECTIME	SECTIME_0.15	ran	1388.2	0.0	1257.79	1518.61	754.0	371.0	390	0.038	-41.34	2348.0	0.5912	
eval	E3	ORACLE_DAYRANK	SECTIME	SECTIME_0.25	ran	1027.63	0.0	917.92	1137.33	585.0	338.0	390	0.049	20.44	2348.0	0.4377	
eval	E3	ORACLE_DAYRANK	SECTIME	SECTIME_0.4	ran	461.88	0.0	384.96	538.8	287.0	225.0	390	0.071	-109.79	2348.0	0.1967	
eval	E3	ORACLE_DAYRANK	SECTIME	SECTIME_0.6	ran	149.44	0.0	97.62	201.26	89.0	83.0	390	0.194	-22.85	2348.0	0.0636	
eval	E3	ORACLE_DAYRANK	TAUZ	TAUZ_0.5	ran	2011.39	0.0	1851.41	2171.38	1125.0	390.0	390	0.032	-58.8	2348.0	0.8566	
eval	E3	ORACLE_DAYRANK	TAUZ	TAUZ_1	ran	1515.82	0.0	1411.98	1619.66	375.0	375.0	390	0.044	-33.39	2348.0	0.6456	
eval	E3	ORACLE_DAYRANK	TAUZ	TAUZ_1.5	ran	0.0	0.0	0.0	0.0	0.0	0.0	390		0.0	2348.0	0.0	
eval	E3	ORACLE_DAYRANK	TAUZ	TAUZ_2	ran	0.0	0.0	0.0	0.0	0.0	0.0	390		0.0	2348.0	0.0	
