# P-M2c WARM-UP LEDGER — reader=opus-discretionary, era=E1, block=STUDY, round=P-M2c-warmup
# Format per PORT_M2_SHEETS_SPEC §3 / READER_BRIEFING §1. stage=PRELIM rows are the ablation
# truncated-view (S1-S5+S13) preliminary calls; stage=FINAL rows are the committed calls scored
# by panel_score. conf: A >= $1,500 / B $700-1,500 / C < $700. interaction+novel optional.
cid	stage	call	conf	primary	against	interaction	novel
NKD-20210701-000027-L	FINAL	SKIP	C	S13 entry spread_at_decision=$175.00 vs cost_rt=$55.00 (7.0 ticks; NKD era-median spread $50, ERA_PRIMER_E1 §2) - the entry tax is 3.5x normal at second 27 of the session	S3 runway to_phase_close=30573s and COVERAGE TOKYO=9.8% unspent=$1155.5 - A1 capacity is entirely unspent	S7 L1 bid x1 / ask x4 with S8 session vol=12 contracts in 27s and sflow=0 (buy 3 / sell 4): no participation exists yet to carry any move, so the wide spread is a liquidity fact not a temporary quote	S5 z-scores are the only live fields at a session open (bid_sz z=-0.67, ask_sz z=+1.35); trajectory rows are all '.' by construction - the T-minus table is uninformative for OPEN-DYNAMICS candidates in the first minute
NKD-20210701-007741-L	FINAL	SKIP	C	S8 FUEL MAP trapped above_mid=376 / below_mid=0 - 100% of TOKYO phase volume transacted ABOVE the entry mid 28735, so every passive long in the phase is underwater and is supply against a LONG reclaim	S5 bid_sz=6 z=+2.02 vs ask_sz=2 z=-1.35 (touch imbalance favours up) and S4 PHASE_HL TOKYO|lb2|L,lb3|L,lb5|L = 28725.0 tc=4 support cluster only $10 below entry	S3 pivot chain lows 28742.5 -> 28747.5 -> 28767.5 -> 28735.0@02:08:58 breaks the prior swing lows 3 seconds before the decision, and S5 mid_slope_$/min=-187.5 with accel(1m-5m)=-132.5: the touch imbalance is being read at the instant of a fresh breakdown, and S7 c2f=12.85 with L1life_ms=137.1 says that 6-lot bid is quote flicker, not restockable depth	FUEL POLARITY: sign(phase sflow) x side of the fuel mass relative to mid tells you which side is trapped; here sflow=-49 (sellers aggressive) AND 100% of mass above mid, so the aggressor is winning and continuation is down
SI-20210701-012312-S	FINAL	SKIP	C	S4 four-family confluence at 26.2725 (NDAY N2|H, PHASE_HL NY|lb1|H, NY|lb2|H, PRIOR_DAY H; all tc=1 test_m=20 outcome=RECLAIM) sits $25 BELOW a SHORT entry at 26.2775 - the short is initiated directly into reclaimed support (B2 level families)	S8 phase sflow=-688 on 3843 contracts (-17.9% imbalance, sustained one-sided selling across 30m/-243 and phase; C(ii) parent-order footprint)	S8 FUEL MAP below_mid=3059 (79.6% of phase volume below the entry) means those aggressive sellers are the underwater side, and the two most recent through_book_600s prints are both >A (-71.6s sz=3, -59.5s sz=17) - the trapped side is already being squeezed up	SHEET DEFECT: S3 COVERAGE exp_move_q50='.' for SI on this date (fvol REFUSED) yet S9 ladder_position still reports 'below_q10' with every move_ladder quantile '.'; the A1 arithmetic is unavailable and the ladder_position field is asserting a band it cannot compute
HG-20210701-019514-L	FINAL	SKIP	C	S3 COVERAGE TOKYO=79.4% unspent=$229.6 with runway to_phase_close=5686s and S13 exit_default=phase_close@07:00:00 - the A1 arithmetic says the $1,000 bar cannot be paid out of $229.6 of unspent expected phase move in 1.6h	S3 pivot 32 HIGH 4.2695@05:22:56 is a $200 bounce off the 4.2615 low and S5 accel(1m-5m)=-1.3 (the decline has stopped decelerating), so a reclaim attempt is genuinely live	S8 FUEL MAP above_mid=7089 / below_mid=218 (96.2% of phase volume above the entry) with phase sflow=-297 and through_book_600s thru_bid=13 vs thru_ask=3 - the trapped side is long, it is still liquidating into the bid, and the reclaim must eat that supply inside 1.6h	A1-RUNWAY VETO candidate: COVERAGE_phase>=75% AND unspent<$400 AND exit_default=phase_close is a mechanical SKIP regardless of the entry-quality evidence
SI-20210701-025274-L	FINAL	SKIP	C	S5 ask_sz=10 z=+2.02 vs bid_sz=7 z=+0.67 with S3 phase LONDON H=26.3175@07:00:59 equal to the entry mid - the LONG is entered at the exact 15-second-old phase high into an above-normal offer	S13 G1_FAST_OPEN 2021 mean_cert=+$74.97 pos_frac=0.5175 cond_peak=$1167.82 (the only positive-mean family card in this draw) and S3 runway=21526s with LONDON range_so_far=$50.0 - A1 capacity is maximal	S6 raw ribbon at T-14.80s shows six consecutive @A prints clearing a repeatedly re-added 1-lot offer at 26.3150 after which the market ticks up and the offer rebuilds a level higher (genuine absorption), but S8 60s volume is only 18 contracts and S9 vol_of_vol=0.072 / rv60=43.3 in a LOW regime - A3 fails on MAGNITUDE, not on direction	S8 FUEL MAP is phase-scoped, so at a phase open it is degenerate (phase_total=20 contracts, 100% in one band) - the fuel-map read is structurally unavailable to the OPEN-DYNAMICS class
HG-20210701-052246-S	FINAL	SKIP	C	S8 FUEL MAP below_mid=5738 (80.3% of NY phase volume below the entry 4.2955) while phase sflow=-878 - the aggressive sellers are the underwater side, and S3 shows price rose $285 from phase L=4.2720@13:35:13 to H=4.3005@14:27:26 straight through that selling (absorption), so a fresh SHORT joins the side that is already losing	S5 mid_slope_$/min T-5m=-62.5 accel(1m-5m)=-47.5 off S3 pivot 90 HIGH 4.3005@14:27:26, and S3 COVERAGE NY=45.9% unspent=$838.2 with runway=30553s (A1 capacity maximal, S9 ladder_position=below_q10)	S7 dBsz/min=+8.00 vs dAsz/min=+2.00 at c2f=1.38 (271 fills / 300s - real depth, not flicker): the bid is being restocked four times faster than the offer at the decision second, so the A4 side-resolved-erosion read points against the short	S6 shows 40-lot and 26-lot ask blocks appearing and vanishing inside the same millisecond (A+39/A-41 at 8262ms, A+26/A-26 four times at 7446ms) - displayed size at this venue is not evidence; only S7 dBsz/dAsz and c2f survive as book evidence
SI-20210701-052332-L	FINAL	TAKE	B	S13 CLASS NEWS-WINDOW E1 n_cand=2696 cond_value=$1042.88 mean_cert=+$26.63 win_frac=0.1187 (the only positive unconditional mean in the whole draw; 2x every other class on win_frac) taken with S3 runway to_phase_close=30467s where phase close = session close - B1's stated NEWS earning mechanism is time-in-phase and this candidate has all of it	S8 FUEL MAP above_mid=4257 vs below_mid=115 (97% of NY volume is an overhead supply shelf) and S2 day_type_so_far=AT_RANGE with range_so_far=$1625.0 = 63.6% of range_hat - A1 capacity is over half spent	S5 mid_slope_$/min T-5m=+87.5 with accel(1m-5m)=+157.5 off S3 pivot 94 LOW 26.3125@14:31:13 (59s before decision), S8 60s buy/sell_vol=85/58 sflow=+27, S8 through_book_600s last two prints -54.4s sz=2 >A and -22.2s sz=9 >A, S7 dBsz/min=+6.00, and the low sits $137.5 above the S4 PHASE_HL LONDON|lb5|H=26.3075 tc=9 cluster: price, flow and book agree in direction inside the last 60 seconds at a 9-touch level (A3 at magnitude, A5 confirmation)	S9 event_intensity ratio=1.74 with S7 rev/s 60s=30.93 vs 300s=17.80 - event-intensity acceleration is the cheapest available proxy for 'the news window is still live'
NKD-20210701-052433-L	FINAL	SKIP	C	S3 COVERAGE SESSION=90.5% unspent=$158.1 (range_so_far=$1512.5 = 88.9% of range_hat=$1700.4) with S13 exit_default=phase_close@22:59:59 - A1 says a $1,000 certificate requires the session to run ~$850 beyond its whole expected move	S3 runway=30366s (8.4h of NY) and S5 mid_slope_$/min T-5m=+87.5 accel=+65.0 off pivot 93 LOW 28672.5@14:29:57	S8 60s window n=0 trades / vol=0 / sflow=0 and S7 300s n_trades=7 with c2f=22.91, S5 trades/min NOW=0 z=-1.61, S2 vol_regime LOW rv5/rv66=0.317 - there is no counterparty in NKD's NY phase at this second (B3: NKD's value cell is Tokyo open/afternoon, not NY)	A dead-book test that costs nothing: S8 60s n=0 is a hard veto independent of every other section
HG-20210701-055858-S	FINAL	TAKE	B	S4 PHASE_HL LONDON|lb1|H, lb2|H, lb3|H = 4.3148 (tc=1, test_m=1) coincident with FVOL_LADDER OPEN_LONDON|q50|+1 = 4.3149 - a FIRST test (A5) of a four-family confluence $118.7 above the entry, which S3 pivot 104 HIGH 4.3145@15:29:48 failed at 70 seconds before the decision (B2 fvol-ladder + phase-H families)	S8 FUEL MAP below_mid=14646 (96.6% of phase volume below the entry) with phase sflow=-1170, and S8 60s sflow=+31 (buy/sell_vol 105/74) - the aggressive sellers are underwater and near-term flow is still buying	S7 dBsz/min=-5.00 vs dAsz/min=+3.00 with S5 ask_sz z=+2.70 (A4: the bid erodes while the offer builds) AND S8 through_book_600s where the six most recent prints are ALL >A (sz=12 at -104.1s, sz=8 at -106.7s, sz=3+5+1 clustered at -77.1s) yet price is $112.5 BELOW the high those buys made - buy-side aggression at magnitude that failed to hold is the A2 spent-energy read	A1 REFINEMENT: COVERAGE=68.5% is not a veto here because a $1,000 SHORT lands at 4.2900, INSIDE the existing NY range (L=4.2720) - the coverage veto should apply only to targets that require RANGE EXTENSION
NKD-20210818-007457-S	FINAL	SKIP	C	S13 spread_at_decision=$75.00 (3.0 ticks = 1.5x NKD's era-median $50, ERA_PRIMER_E1 §2) plus cost_rt=$55.00 = $130 of round-trip friction, 13% of the $1,000 bar, arriving exactly as S9 vol_of_vol=0.721 and rv300 triples from 96.8 (T-5m) to 337.0 - the spread widening IS the maker's toxic-flow response (C(i)) and the entrant pays it	S3 COVERAGE TOKYO=39.8% unspent=$755.2 with runway=23143s (A1 capacity open) and S5 mid_slope T-5m=-125.0 accel=-150.0	S8 carries no directional evidence in any window (60s sflow=+2, 5m=+15, 30m=+24, phase=-21) and FUEL MAP above_mid=206 / below_mid=153 is balanced, while S7 60s shows 347 M events against 10 trades at c2f=20.58 - after the 02:02:07 spike (pivot 14, +$500 in 79s) this is quote-churn with no transacting counterparty to take a side against	S5 bid_sz z=+5.40 AND ask_sz z=+5.40 identical - the z column is a raw score against a trailing same-half-hour dispersion that can be near zero; see NKD-20210818-027352-L where trades/min z=+102.76
