# P-M2c PATTERN LEDGER — opened by the E1 warm-up (READER_BRIEFING §2 / D-059.3)
# era_status vocabulary: ACTIVE | DORMANT | DEAD | REACTIVATED | MUTATED->id | HYPOTHESIS
# Every pattern names the EXACT sheet fields a strictly-causal detector would read (D-026/D-056:
# a pattern must be censusable before any feature is built from it).
# n_support / n_against count cases in the 24-case E1 warm-up draw AND the E1 study day-1
# day-complete set (2021-07-01, n=1039). Rows edited on day 1 carry [E1D1] in notes.
# era_status_E1 is the CURRENT status; the warm-up status is preserved in the notes when changed.
pattern_id	name	mechanism	class_scope	sheet_fields	era_status_E1	n_support	n_against	support_cids	notes
P001	PHASE_ROLLOVER_UNDERMOVED	A phase that has not yet spent its expected move, with the whole session left to run, prints a phase extreme and rolls over; the phase then makes its move in the rollover direction and the session-close exit collects it.	NEWS-WINDOW, OPEN-DYNAMICS, REVERSAL-CONFIRMATION (all three instances are HG/NY SHORT)	S3.COVERAGE_phase <= 70% ; S9.ladder_position in {below_q10, at_or_above_q10} ; S3.runway_to_phase_close >= 26000s ; S13.exit_default = session close ; age of S3.phase H (SHORT) or L (LONG) <= 200s ; S5.mid_slope_$/min and S5.accel(1m-5m) both signed with the trade	CENSUS-GRADED: CONCENTRATOR(feature)	13	1	HG-20210701-052246-S(+1320) HG-20210701-055858-S(+1682.50) HG-20210929-052330-S(+1670)	The round's principal product. All three are the ONLY phase-close certificates >= $1300 in the draw. Near-misses HG-20210929-058037-S (COVERAGE 75.6%, slope +) and HG-20210929-066533-S (COVERAGE 106.3%, slope +) paid $732.50 and $595 — the coverage and slope terms are what discriminate. NEEDS A CENSUS BEFORE ANY FEATURE. [E1D1] MUTATED. Day-complete test on 2021-07-01: the five-term geometry fired 10x; the 6 flow-CONCORDANT fires all paid $1320-$1683 (6/6), the 4 DISCORDANT fires included HG-20210701-049049-L, a -$930 hard stop-out with the geometry perfect. The geometry is direction-blind (it fires identically at a fresh phase low and a fresh phase high) and the slope term is an artefact of sampling the founders 70-200s after their extremes. Superseded by P016 (geometry + direction) and P015 (the direction term itself). Warm-up status was ACTIVE. [E1D2] CC-M2-9.1 ratified the census: winner CONCENTRATOR (cond value 1.57x, winner rate 1.70x) with NO positive edge on the deployed-exit adoption metric (beta -$17.50, p=.42). Disposition: feature candidate set, never the entry/veto rule set. Day 2 adds nothing for it: on 2021-07-02 the entire P001/P016 geometry family was pointed at the wrong side of the tape.
P002	A1_EXIT_SECOND_VETO	When the default exit is a PHASE close and the phase has spent most of its expected move, the certificate cannot reach the bar however good the entry is. Evaluate A1 against the exit second, not the session.	all	S3.COVERAGE_phase >= 75% ; S3.unspent <= $450 ; S13.exit_default = phase_close (not session close) ; S3.runway_to_phase_close	ACTIVE	5	0	HG-20210701-019514-L(+20) NKD-20210818-027352-L(-167.50) HG-20210929-013657-L(+57.50) HG-20210929-034204-L(+232.50) HG-20210929-066533-S(+595)	5/5 sub-bar. HG-20210701-019514-L is the proof case: phase_close +$20 while peak_exit was +$1220 nine hours later, outside the exit rule. [E1D1] ACTIVE confirmed. As term T4 (runway>=20000s to the binding exit) it blocked a pool averaging -$236.25 with 0 winners on n=1039.
P003	A1_SESSION_BINDING	When exit_default is SESSION close, the SESSION coverage row binds, not the phase row. A phase with room inside a session at >100% coverage is not capacity.	all	S13.exit_default ; S3.COVERAGE_SESSION ; S3.unspent (session row)	ACTIVE	2	0	NKD-20210818-055996-L(-955) NKD-20210818-075162-L(-955)	Surfaced by the ablation truncated view of NKD-20210818-055996-L, where COVERAGE_NY=26.5% and COVERAGE_SESSION=101.3% disagreed. [E1D1] ACTIVE, untested separately on day 1 (folded into T4/T3).
P004	DEAD_BOOK_VETO	A 60-second window with no transacting counterparty cannot carry a $1,000 move regardless of every other section. The cheapest veto in the sheet.	all	S8.60s n and vol (== 0 or 1) ; S7.300s n_trades <= ~15 with c2f >= ~20 ; S5.trades/min z <= -1.3	ACTIVE	1098	0	NKD-20210701-052433-L(+232.50) NKD-20210818-010636-S(-955) NKD-20210818-055996-L(-955) NKD-20210818-075162-L(-955)	4/4. Co-located with B3's cell law: all four are NKD outside Tokyo. Reads from two integers. [E1D1] ACTIVE, strongly confirmed at scale. As term T1 it blocked 278 of 310 NKD candidates on a session that produced ZERO D-021 winners, and 341 of 1039 day-wide. Two integers (S8 60s n, vol) are the cheapest veto in the sheet. [E1D2] Confirmed a second day. It alone carried the NKD abstention on 204 candidates (0 D-021 winners, mean -$66.64, walled 0.000). Two study days: 514 NKD candidates, ZERO winners. [E1D3] Confirmed a THIRD day and it is now one of only two terms positive on all three (ERA_NOTES §38). On 2021-07-05 (US holiday, 644 candidates) the 60s participation floor is what separates a tradeable tape from a dead one on every asset; NKD 197 candidates, 0 winners — three sessions, 711 NKD candidates, ZERO winners. [E1D4] Fourth day. Still one of the two terms with four-session support as a REFUSAL (it passes 128 of the day's 136 winners and 926 of 1,268 rows), but the eight winners it refuses are the first direct evidence against it: NKD produced 8 D-021 winners on 2021-07-06 (ERA_NOTES §45) and the live-book floor is what a rule reading only the 60-second window uses to miss them. Confirmed as a cheap refusal, no longer claimed as free. [E1D5] Fifth day. It passes 44 of the day's 46 winners and 800 of 1,185 rows, and for the SECOND session running the eight rows it costs are NKD's: NKD's 4 TOKYO winners at 02:01-02:02 PASS the live-book floor (f60_n 17-27, vol 29-49) and are refused by the MAGNITUDE floor instead (ERA_NOTES §55). Separately, the day's declared side estimator P027 took its NKD founder from NKD-20210707-002147-S, a row with f60_n=0/f60_vol=0 that P004 refuses outright — a dead-book row set the whole session's side state and set it at the exact low. P004 is now also a GATE ON SESSION-STATE ESTIMATORS, not only on entries. [E1D6] Sixth day. It passes 72 of the day's 85 winners and it is no longer the round's most retentive term — the REPAIRED T5 magnitude floor passes 74 and P025 passes 85. Confirmed as a cheap refusal.
P005	ENTRY_SPREAD_TAX	spread_at_decision far above the asset's era-median spread is a liquidity fact, not a transient quote; the entrant pays it and the book behind it cannot carry the trade.	all, strongest at session/phase opens	S13.spread_at_decision vs ERA_PRIMER §2 spread_med ; S13.cost_rt ; S7.L1 sizes	ACTIVE	110	2	NKD-20210701-000027-L(-955) NKD-20210818-007457-S(-955)	Both cases carried spread >= 1.5x median; both walled out. Overturns B6's "costs are small" at the tail. [E1D1] ACTIVE. As term T2 it blocked 118 candidates; 5 of the day's 40 missed winners were among them, so it is not free — but the SI/NKD wide-spread tail it removes remains the right refusal (see P005's founding cases). [E1D2] FIRST EVIDENCE AGAINST. On 2021-07-02 the spread tax sole-blocked 17 candidates (mean -$547.28) but two of them were D-021 winners, including SI-20210702-052246-L at +$1,995.00, the best candidate of the day. Both were within a minute of the 12:30Z Employment Situation: the second the spread widens is the second the move is. Still net-positive as a filter; the era census must split it by proximity to an S12 last_scheduled event. [E1D3] Third day, no new evidence either way: it sole-blocks nothing inside the day-3 take family and the session carried no scheduled release, i.e. the E1D2 counter-case (release-second widening) could not recur. The census still owes the proximity-to-S12-event split. [E1D4] Not a term of the day-4 rule and the reason is measured: inside the absorption family the spread tax removes value (the pool it blocks over days 1-3 is +$95 mean with 4 D-021 winners), which is consistent with the E1D2 counter-case (the second the spread widens is the second the move is). The dead-book tail it was written for is already removed by P004. The proximity-to-S12-event census is still owed.
P006	FIRST_TEST_CONFLUENCE	A multi-family level confluence (fvol ladder + PHASE_HL/PRIOR_DAY) being tested for the FIRST time (tc=1, test_m<=2) and failing is a durable entry object with a very small MAE.	OPEN-DYNAMICS, REVERSAL-CONFIRMATION	S4.family + level_id + price + tc <= 1 + test_m <= 2 ; distance to entry ; S3 pivot at that price within ~2 min	ACTIVE	8	0	HG-20210701-055858-S(+1682.50, mae $50)	The draw's only D-021 winner I took. A5+B2 in one object. n=1 — needs a census. [E1D1] ACTIVE, promoted from n=1. The reader's only discretionary override of the day, SI-20210701-054339-S (S4 OR_EXT NY|OR30|k1.0|+1 = 26.5200 tc=1 test_m=2 PENDING; NY phase H 26.5225 printed on that level 156s earlier and failed), paid +$1682.50 with mae $37.50 — the joint-best certificate of the day. Its five un-overridden siblings paid $1470-$1632. B2's opening-range-extension family is the level family that carried it. [E1D2] The waiver was made EXECUTABLE this day (tc<=1, |d$|<=60 on the resisting side, >=2 families at that price, trade-side extreme <=300s) and admitted exactly one candidate, SI-20210702-054267-S, which lost the LEAST of the four SI seats (-$317.50 close, +$970 peak, unwalled) on a day when every other SI short walled at -$930. Weak positive; the tight form is the one to census.
P007	ABSORPTION_NO_RESPONSE	Large one-sided aggressive flow that fails to move the mid is being absorbed by the passive side; the flow stream is not evidence when the price stream contradicts it.	all	S8.60s sflow/vol >= ~0.4 ; |S5.mid(NOW) - S5.mid(T-1m)| <= 1 tick ; S7.c2f (low = real fills)	CONTESTED — COUNTERWEIGHT ONLY (entry form falsified E1D4)	9	1	NKD-20210818-027352-L(-167.50; 223 contracts at 4:1 buy moved the mid $2.50, peak_exit +$107.50)	The correct counterweight to A3. Cheap: three fields. [E1D3] PROMOTED FROM COUNTERWEIGHT TO ENTRY OBJECT, and vindicated in its ORIGINAL form. All 8 D-021 winners of 2021-07-05 (HG TOKYO longs 03:02:59-03:20:54, certs $1,001-$1,139) are entries where 5m/30m/phase aggression was SELLING at 10-12% of phase volume and the through-book prints were 10/4, 11/3, 3/1 through the BID — sellers hitting AND clearing — while price refused to extend the phase low. The reader day-3 rule required the through-book prints to be on the TRADE side (T5) and therefore refused every one of them; that term contradicts P007 and its sign is STRUCK. The confirmation P007 needs is a PRICE-FAILURE test (the aggression does not extend the trade-side extreme), not a through-book side test. NEEDS AN ERA CENSUS in that form. [E1D4] FIRST FALSIFICATION AS AN ENTRY OBJECT. Written into the day-4 rule as T4 (5m aggression OPPOSED at >= 5% of its own volume) it took 43 NY longs on a session whose 136 winners are all NY SHORTS, and its own mirror (flow WITH the trade) scored better: opposed +$89.54/31 winners vs with +$132.51/57 winners over 1,268 rows. Four-session record of the opposed reading INSIDE the family: +$223 / +$157 / +$251 / +$90, beating its mirror on ONE session of four. P007 survives as the COUNTERWEIGHT it originally was (aggression is not evidence when price contradicts it) and is struck as a direction source. See ERA_NOTES §41. [E1D5] Not used as a direction source (the day's declared rule reads T4 DE-SIGNED, per the mirror law). The de-signed magnitude reading passes 33 of the day's 46 winners against 896 of 1,185 rows — it is not selective. P007 stays a counterweight. [E1D6] Used as the stated rationale of the HG/NY cell seat (5m sflow +115 on 303 and all 8 through-book prints clearing the ASK, with the NY high 4.2468 unextended for 139s) — and HG/NY produced ZERO D-021 winners on either side. P007's counterweight reading neither helped nor hurt; it named a cell that had nothing.
P008	BROKEN_SUPPORT_OVERHEAD	A same-price stack of prior-session / prior-phase LOW levels that price has traded BELOW becomes the densest resistance object on the sheet; identifiable mechanically by |L-family level_ids carrying POSITIVE d$.	RECLAIM, REVERSAL-CONFIRMATION	S4.level_id suffix in {|L} with d$ > 0 ; count of distinct families at one price ; S4.tc, test_m	HYPOTHESIS (1-1)	1	1	HG-20210929-013657-L(+57.50, never cleared inside the phase)	n=1 and confounded with P002 on that case. Do not build a feature until censused separately. [E1D2] EVIDENCE AGAINST. It was the named risk in the pre-mortem of HG-20210702-058378-L (stacked LONDON/OVERNIGHT lb1|L at 4.2555, $87.5 above, outcome RECLAIM) and the long closed +$620.00 with peak +$1,007.50 and no wall — the best call of day 2. An L-family level with positive d$ did not stop a $1,000 long.
P009	FUEL_POLARITY	sign(S8 phase sflow) x which side of the phase volume mass the mid sits on was hypothesised to say which side is trapped and therefore which way price continues.	all	S8.FUEL MAP above_mid / below_mid / at_mid ; S8.phase sflow	DEAD	5	3	right on 5 sub-$600 outcomes; WRONG on HG-20210701-052246-S(+1320), HG-20210701-055858-S(+1682.50 against its read), HG-20210929-052330-S(+1670 vetoed)	Invented at NKD-20210701-007741-L and used in 9 of 24 calls. It was right only where nothing was at stake and wrong on every bar-clearing move. KILLED IN THE SAME ROUND THAT BIRTHED IT. Surviving use: degenerate-state detection (phase_total < ~50 contracts at a phase open). [E1D1] stays DEAD. Not used in any of 1039 calls. [E1D6] RESURRECTED AND RE-KILLED. Component C4 of the reader's declared E1D6-CS composite is the fuel-map overhang used as a SIDE source, i.e. P009 in new clothes. On 2021-07-08 the OWN-ASSET reading produced the round's worst call (SI/LONDON: 7,424 of 8,635 TOKYO contracts trapped ABOVE => called SHORT; SI rallied +$1,450 with 14 LONG winners; seat -$930 with MAE $1,775) while the CROSS-ASSET reading of the SAME field called HG/LONDON and NKD/LONDON correctly and produced both of the day's winning seats. The sign inverts between the asset that carries the overhang and the assets that follow it. P009 stays DEAD as an own-asset direction source; the cross-asset form is a NEW censusable object (ERA_NOTES §60).
P010	BALANCE_TRIPLE	Fuel-map symmetry + zero sflow on every window + an S4 POC/VWAP nest at d$~0 was hypothesised to mean "no trade here".	REVERSAL-CONFIRMATION, NEWS-WINDOW	S8 |above_mid-below_mid|/phase_total < 0.05 ; S8 sflow ~ 0 on 60s/5m/30m/phase ; S4 POC or VWAP level with |d$| <= 25	DEAD	2	1	right: SI-20210831-050176-L(-930), SI-20210831-058078-L(-930); WRONG: HG-20210929-052330-S(+1670, a true D-021 winner)	Dead as a VETO. A balance node with unspent phase capacity (P001) is a COIL, not an absence. MUTATED->P001: the discriminator is S3.COVERAGE_phase, not the balance itself. [E1D1] stays DEAD. Not used in any of 1039 calls.
