# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP CONSTRAINTS CHECKED IN EVERY ROW: <=10 trades/day across the three books (cap_flag), >=$667/trade (trade_target), >=$2000/day/asset (day_target).  NO EXIT IS TOUCHED -- the contract remains ride-to-phase-close with the $900 wall, so no quick exit or microscalp is expressible by construction.
# FIX 1: across the stacked arm's members, each picks a top-1 per cell; the cell is taken only when at least `knob` of them agree on the SAME candidate.  Members disagree most on coin-flips, so agreement is a confidence interval built from the ensemble rather than from the score's magnitude -- which is the quantity that inverted.
era	arm	knob	n_seated	takes_per_session	trades_per_day_3books	win_rate	usd_per_trade	usd_per_session	usd_per_traded_day	weekly_pnl_p10	frac_sessions_dd_over_1000	cap_flag	trade_target	day_target
E3	RAW		1185	3.04	27.35	0.5873	202.91	616.54	616.54	2897.0	0.1974	OVER_DAY_CAP		
E3	AGREEMENT	0.0	1185	3.04	27.35	0.5873	202.91	616.54	616.54	2897.0	0.1974	OVER_DAY_CAP		
E3	AGREEMENT	0.3	588	1.69	13.67	0.7602	456.63	773.77	773.77	6087.75	0.0202	OVER_DAY_CAP		
E3	AGREEMENT	0.4	416	1.43	9.83	0.7957	530.49	758.36	758.36	4457.25	0.0137			
E3	AGREEMENT	0.5	232	1.21	6.16	0.8319	528.84	639.01	639.01	2426.25	0.0104			
E3	AGREEMENT	0.6	127	1.13	4.76	0.8819	618.03	700.8	700.8	468.75	0.0089			
E3	AGREEMENT	0.7	51	1.09	4.03	0.8824	551.5	598.43	598.43	176.25	0.0			
E3	AGREEMENT	0.8	29	1.07	3.48	0.931	516.55	554.81	554.81	45.0	0.0			
E4	RAW		1155	3.0	26.86	0.6563	314.27	942.82	942.82	5090.0	0.0779	OVER_DAY_CAP		
E4	AGREEMENT	0.0	1155	3.0	26.86	0.6563	314.27	942.82	942.82	5090.0	0.0779	OVER_DAY_CAP		
E4	AGREEMENT	0.3	715	1.94	16.63	0.7524	469.91	913.01	913.01	7061.88	0.0136	OVER_DAY_CAP		
