# ==== VOID FOR DEPLOYMENT (seating lookahead, leak audit P1, 2026-08-21) ====
# Every REALISED $/session column below is produced under retrospective seating
# (newobj.top_per_cell_score = the cell's EVENTUAL argmax, ~5.5h of future
# arrivals on average; the argmax is the cell's first arrival only 5.9-14.4% of
# the time, LEAK_SEATING_CENSUS.tsv).  Those numbers are NOT earnable at arrival
# time and must never be quoted as results or used as promotion baselines.
# THE CEILING COLUMNS SURVIVE: a ceiling is a hindsight BOUND, not a policy, and
# the verdicts of this table rest on them.  Replacement object: the arrival-time
# policy (engine/port_m2/arrival.py, ARRIVAL_ZOO.tsv, ARRIVAL_PROPHET.tsv).
# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# S1b — THE SHORT SIDE OF THE HORIZON GRADIENT, the drawing-board move S1's own finding generates.  Exit at min(entry + H, phase close) and LET THE FREED POSITION BE RE-SEATED.
# WHY THIS IS NOT COVERED BY THE EXIT-CENSUS NULL: EXIT_CENSUS2_RULES.tsv holds n_seats FIXED AT 352 across all 40 rules — it re-priced exits and never re-filled the seat an early exit frees, so the throughput channel S1 proved dominant is absent from that null.  Its time rules are path-CONDITIONAL; these are fixed horizons chosen at entry.
# THE WALL IS LIVE inside the shortened hold (m2_delay._close_cert, imported).  H is CAPPED at the phase close, so no row here rides past the incumbent's exit.
# dp_ceiling_free / dp_seats_free = the SCHEDULE-FREE one-position DP bound over EVERY candidate at that horizon (c_c_roster.dp_schedule).  It is NON-COMPLIANT with the <=10 trades/day cap by construction and is the unconstrained bound, never a deployable number.
# ARM = the deployed folded members with the adopted first-wall stop, 5 seeds.  PROMOTION = delta_minus_sd > 0 vs the PHASE incumbent.
era	criterion	horizon	hold_cap_sec	n_sessions	n_seeds	armed_mean	armed_sd	raw_mean	raw_sd	seats_per_session	forfeits_per_session	foresight_ceiling	armed_capture	aim_08ceiling	gap_to_aim	dp_ceiling_free	dp_seats_free	delta_vs_phase	delta_minus_sd	promotes
E5	BINDING	PHASE		387	5	1126.45	26.59	1225.64	21.42	3.0	0.0	2582.61	0.4362	2066.09	-939.64	2583.53	3.02	0.0	-26.59	no
E5	BINDING	H300	300	387	5	47.45	7.78	53.05	8.1	3.0	0.0	808.35	0.0587	646.68	-599.23	5550.77	59.94	-1078.99	-1086.78	no
E5	BINDING	H600	600	387	5	127.8	10.12	144.38	12.91	3.0	0.0	1079.46	0.1184	863.57	-735.77	6054.2	47.14	-998.65	-1008.77	no
E5	BINDING	H900	900	387	5	198.21	12.89	226.46	15.09	3.0	0.0	1270.34	0.156	1016.27	-818.06	6125.28	38.84	-928.24	-941.13	no
E5	BINDING	H1800	1800	387	5	375.68	19.97	414.6	19.41	3.0	0.0	1633.56	0.23	1306.85	-931.17	5846.51	25.78	-750.77	-770.74	no
E5	BINDING	H3600	3600	387	5	617.36	31.63	665.57	27.91	3.0	0.0	2003.49	0.3081	1602.79	-985.43	5100.56	15.85	-509.09	-540.71	no
E5	BINDING	H7200	7200	387	5	918.64	28.36	983.3	23.97	3.0	0.0	2383.3	0.3854	1906.64	-988.0	4207.21	9.36	-207.8	-236.16	no
E5	BINDING	H14400	14400	387	5	1087.69	17.18	1175.25	18.18	3.0	0.0	2573.76	0.4226	2059.01	-971.32	3294.78	5.44	-38.76	-55.95	no
E6	BINDING	PHASE		384	5	1127.57	458.73	1331.37	381.79	3.0	0.0	3366.93	0.3349	2693.55	-1565.98	3368.02	3.04	0.0	-458.73	no
E6	BINDING	H300	300	384	5	50.59	17.78	61.07	13.38	3.0	0.0	1022.11	0.0495	817.69	-767.1	7911.59	65.03	-1076.98	-1094.76	no
E6	BINDING	H600	600	384	5	142.33	35.28	157.36	32.11	3.0	0.0	1372.61	0.1037	1098.09	-955.76	8427.14	49.86	-985.24	-1020.52	no
E6	BINDING	H900	900	384	5	219.2	42.65	244.97	45.75	3.0	0.0	1595.6	0.1374	1276.48	-1057.28	8382.87	40.93	-908.37	-951.02	no
E6	BINDING	H1800	1800	384	5	405.65	64.12	452.34	63.09	3.0	0.0	2079.63	0.1951	1663.7	-1258.06	7894.89	26.9	-721.92	-786.04	no
