# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE TOP EXIT RULE'S FULL RISK PANEL on the agreement-0.80 book, beside its own phase-close baseline on the SAME seats.  rule = MHD_STRUCT_0.20ATR.
# Panel columns are `risk_panel.panel_rows` VERBATIM, so this table and the dollar tables cannot disagree; the six capture/target columns are appended by this lane.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates	entry_foresight_ceiling	capture_of_ceiling	full_ceiling	capture_of_full_ceiling	floor_2000	aim_2500_3000
BASE_PHASE_CLOSE	E3	ALL	27	29	1.07	1.0	2.0	0.931	0.1034	516.55	407.5	110.0	982.5	199.78	100.0	440.0	0.2069	554.81	0.0	0.0	267.5	0.0	0.0741	19	788.42	45.0	0.1053	1		2877.82	0.1928	2366.9	0.2344		
MHD_STRUCT_0.20ATR	E3	ALL	27	29	1.07	1.0	2.0	0.931	0.1034	516.55	407.5	110.0	982.5	199.78	100.0	440.0	0.2069	554.81	0.0	0.0	267.5	0.0	0.0741	19	788.42	45.0	0.1053	1		2877.82	0.1928	2366.9	0.2344		
BASE_PHASE_CLOSE	E3	SI	12	12	1.0	1.0	1.0	0.9167	0.0833	447.08	257.5	147.5	907.5	325.0	150.0	667.5	0.4167	447.08	0.0	0.0	267.5	0.0	0.0833	11	487.73	145.0	0.0909	1		3713.13	0.1204	3462.5	0.1291		
MHD_STRUCT_0.20ATR	E3	SI	12	12	1.0	1.0	1.0	0.9167	0.0833	447.08	257.5	147.5	907.5	325.0	150.0	667.5	0.4167	447.08	0.0	0.0	267.5	0.0	0.0833	11	487.73	145.0	0.0909	1		3713.13	0.1204	3462.5	0.1291		
BASE_PHASE_CLOSE	E3	HG	4	5	1.25	1.0	2.0	1.0	0.2	810.0	795.0	587.5	1062.5	53.75	37.5	117.5	0.0	1012.5	0.0	0.0	0.0	0.0	0.0	3	1350.0	727.5	0.0	0		3045.94	0.3324	2367.19	0.4277		
MHD_STRUCT_0.20ATR	E3	HG	4	5	1.25	1.0	2.0	1.0	0.2	810.0	795.0	587.5	1062.5	53.75	37.5	117.5	0.0	1012.5	0.0	0.0	0.0	0.0	0.0	3	1350.0	727.5	0.0	0		3045.94	0.3324	2367.19	0.4277		
BASE_PHASE_CLOSE	E3	NKD	11	12	1.09	1.0	2.0	0.9167	0.0833	463.75	363.75	75.0	891.25	135.42	68.75	136.25	0.0833	505.91	0.0	0.0	55.0	0.0	0.0909	9	618.33	45.0	0.1111	1		1905.45	0.2655	1171.59	0.4318		
MHD_STRUCT_0.20ATR	E3	NKD	11	12	1.09	1.0	2.0	0.9167	0.0833	463.75	363.75	75.0	891.25	135.42	68.75	136.25	0.0833	505.91	0.0	0.0	55.0	0.0	0.0909	9	618.33	45.0	0.1111	1		1905.45	0.2655	1171.59	0.4318		
BASE_PHASE_CLOSE	E4	ALL	134	148	1.1	1.0	2.0	0.8176	0.223	565.73	366.88	-125.0	1502.5	194.72	90.63	513.13	0.2095	624.84	0.0	142.5	930.0	0.0	0.1716	26	3220.34	1194.38	0.0	2		2705.59	0.2309	1973.37	0.3166		
MHD_STRUCT_0.20ATR	E4	ALL	134	148	1.1	1.0	2.0	0.8108	0.223	558.98	366.88	-142.5	1502.5	194.72	90.63	513.13	0.2095	617.38	0.0	151.25	735.0	0.0	0.1791	26	3181.88	984.38	0.0	2		2705.59	0.2282	1973.37	0.3129		
