authority_id	status	scope	sha256	external_path	clock_or_role	schema_contract	notes
corpus_registry_1003	ACTIVE	2022-2025_1003_sessions	233dc10ab4c0973a8caa92792757a322bbff102296f0e7ffb71c6d78810bcaed	authorities/accepted_compact_sessions.tsv	official_session_registry	self_tsv_header	Stock-quote registry anchors all six corpus calendars; raw payload is ignored by Git
event_publication	ACTIVE	ordinals_0_749_prefix_safe	29bed27c5d1f99af16dd915466ee24283f9a701c60e0601169e02bbb0e86c578	/workspace/artifacts/runs/e1_rel037_verified_event/event_publication/manifest.tsv	event_and_signal_publication	manifest_named_files_schemas_and_roots	Manifest-pinned read-only publication; only prefix-bounded causal fields may enter new science
events4_truth_relation	ACTIVE	ordinals_0_749_prefix_safe	3d381095e0b100153347841a6959a539a8bd9699fd98690d81fb624256995ab3	/workspace/artifacts/runs/events.4_stage_run/pub/manifest.tsv	candidate_truth_relation	manifest_named_parquet_schemas_and_roots	Manifest-pinned candidate physical-event identity; final cluster fields are not causal features
action_book	ACTIVE	registered_2022_2025	ffa9dc4b0cf5d0a9b8353886e8ddd882d62337b68164395e1d80a87cf012e9c5	/workspace/artifacts/runs/select4_action_book_v1/manifest.tsv	action_and_outcome_authority	manifest_54_column_outcome_panel_and_leaf_roster	Read-only manifest for the 1003-session action/outcome publication
action_book_red_declaration	ACTIVE	registered_2022_2025	422d5c3163b658fa574c6cd73aeaa1c95e3d2d9da658399c33b2251475e6510a	/workspace/artifacts/runs/select4_action_book_v1/red_declaration.tsv	cost_and_fill_law	self_tsv_header_and_bound_book_manifest	Net labels include once-only 576-cent RT cost and adverse-side fills
entry_path_targets	ACTIVE	registered_2022_2025	8331fac3fb59a45b83093a6b4679cc47a0387cd5cc4c03617391d702b7fc41a0	/workspace/artifacts/runs/select.2_entry-target-v1-production-20260802/manifest.tsv	fresh_entry_targets	manifest_63_column_target_schema_and_session_index	Read-only exact publication manifest
entry_path_structural_census	ACTIVE	registered_2022_2025	b75c6530d9dcf172eced4671784797590ed46533714f1de27ece0ffe113315e4	/workspace/artifacts/runs/select.2_entry-structural-census-v2-production-20260802/manifest.tsv	target_census	manifest_actions_opportunities_edges_witnesses_and_indexes	Read-only exact opportunity/census publication manifest
fold_registry_v2	ACTIVE	registered_folds_embargo2	50c4c773aaee621efecf2fdeafe3b67420abf31c4bdeadf0c55468a3769be786	authorities/static/fold_registry_v2.tsv	fold_and_contamination_law	self_tsv_header	Tracked exact authority; Fold 7 burned and fold 6 one-shot confirmation
estimator_laws_v1	ACTIVE_CODE_AUTHORITY	session_block_lcb	fbd1b573a21f0f9a23cc378f7340106d2f16f09236b263fcfadfcaf1227e7708	authorities/estimator_laws.py	promotion_estimator_law	sha_pinned_python_source	Exact frozen estimator source is bundled for source-free publication tests; production publications carry the same bytes as a declared leaf
cost_table_final	ACTIVE	IWM_execution	2add1ad7e6d2a95918206002132eb34b09680f34dc042e079e96e7aa0fb378c2	/workspace/artifacts/runs/select2_cost_table_v1/final/manifest.tsv	execution_cost	manifest_cost_stats_axes_missingness_and_session_census	Exact full-corpus cost publication manifest; once-only 576-cent law is in the red declaration
native_task_card	ACTIVE_FORMULATION	sessions_125_749	3f7d1820f250e814f186f49ae5e830c9f250905561d73e01740794f6c637743d	/workspace/artifacts/cache/episode_causal_learnability_v1/TASK_CARD.md	causal_representation_spec	self_markdown_contract	Reviewed formulation; no scientific result
native_reader_addendum	ACTIVE_FORMULATION	three_session_probe_then_125_749	667ff4116338573c3ffddace170862ace8950244b58ec28f3e691dad04299226	/workspace/artifacts/cache/episode_causal_learnability_v1/TASK_CARD_V3_3_3_READER_ADDENDUM.md	safe_reader_spec	self_markdown_contract	Legacy option reader is forbidden
rust_adapter_v2	REFUTED_NO_PAYLOAD	three_session_probe	b6e07480e7819d776101739412da53b66b12e34affc8ce47407bcda4b251d15d	/workspace/artifacts/cache/episode_causal_learnability_v1/v33_rust_adapter_v1/vendored/FROZEN_ADAPTER_V2_RECEIPT.tsv	rejected_reader_receipt	self_tsv_closure	Wrong-civil-day nonnull quote timestamp aborts instead of typed invalid; never consume
fred_rates_manifest	PENDING_EXPORT	2022_2025		/workspace/data/external/fred_rates_v1/MANIFEST.sha256	rate_context	pending_deterministic_export	Exact deterministic relevant-row export and SHA must be registered before use
vendor_greeks_oi	PENDING_EXPORT	2022_2025		/workspace/data	vendor_context	pending_deterministic_export	Mutable vendor DB is not authority; export deterministic rows/schema first
vendor_gtest_1_14_0	ACTIVE_BUILD_DEP	cpp_substrate_tests	8ad598c73ad796e0d8280b082cebd82a630d73e73cd3c70057938a6501bba5d7	/workspace/artifacts/vendor/googletest-1.14.0.tar.gz	build_dependency	upstream_source_tarball	vendored 2026-08-10 while online; container-recreation insurance
vendor_zstd_1_5_6	ACTIVE_BUILD_DEP	cpp_substrate_decode	8c29e06cf42aacc1eafc4077ae2ec6c6fcb96a626157e0593d5e82a34fd403c1	/workspace/artifacts/vendor/zstd-1.5.6.tar.gz	build_dependency	upstream_source_tarball	system libzstd-dev 1.5.5 primary; this is the pinned fallback
vendor_arrow_17_insurance	INSURANCE_ONLY	cpp_parquet_fallback	9d280d8042e7cf526f8c28d170d93bfab65e50f94569f6a790982a878d8d898d	/workspace/artifacts/vendor/apache-arrow-17.0.0.tar.gz	build_dependency_fallback	upstream_source_tarball	primary is the dialect-pinned custom decoder (FINAL_PLAN §6); Arrow builds only if the acceptance criterion fails
cpp_substrate_v1	ACTIVE	engine_cpp_wp0_wp9_merge_point	1c5c4bd2bc9d68ae92c3e21e28535521863be9ac49d6aaa4048d3c9ba61e443b	engine/cpp/tests/fixtures/wp9_archive_pins.tsv	cpp_substrate_differential_acceptance	self_tsv_header_field_value	Binds the WP9 merge gate: archived verdicts + diagnostic oracle source by sha; CC-006 inside this acceptance
wp9_oracle_diff_rs	ACTIVE_BUILD_DEP	frozen_rust_differential_oracle	3f32a5522c153f698c65f49ee958b0934853cec12a728155d193930d436aa37d	/workspace/artifacts/cache/cpp/oracle_diff_rs	count_and_skip_wcd_diagnostic_build	len_prefixed_cargo_toml_then_src_main_rs	Path-deps on engine/crates never modifies them; binary prints its embedded source sha, gate pins it
wp9_full625_differential_verdict	ACTIVE	ordinals_125_749_three_streams_plus_oq_era_pair	d06fea0ac979252128ae8f803a0e35400abcc285665ad972c029cc71c02db2d9	/workspace/artifacts/cache/cpp/wp9/full625_verdict.tsv	registry_column_sum_and_byte_differential	field_oracle_value_cpp_value_verdict_waiver_id	64429 PASS/0 FAIL/0 WAIVED; 1877 byte digests identical over 7,877,735,881 rows; WCD-1 unused
wp9_ladder_byte_verdict	SUPERSEDED_BY_FULL_SCOPE	ordinal_ladder_34_plus_oq_era_pair	650f5708afb5512098b1447dea02806cbce00ad02ae00d1c0665d4ab56a4cd77	/workspace/artifacts/cache/cpp/wp9/ladder_verdict.tsv	canonical_byte_differential	field_oracle_value_cpp_value_verdict_waiver_id	FINAL_PLAN ladder object kept as narrower pinned witness
wp0_dialect_census	ACTIVE	all_corpus_files_footer_only	63557a434a981f5b5e2562b43c1a41086c1c7a0fd198d4560ace0f2f8b1c233b	/workspace/artifacts/cache/cpp/dialect_census.tsv	parquet_dialect_admission_set	self_tsv_header	349 rows; ZSTD x PLAIN,RLE,RLE_DICTIONARY only; reader hard-refuses outside it
