# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# arm = the weighting-diverse ensemble
# Computed from the SAME replay the $/session table uses, so the panel and the headline cannot disagree.
# dd_* are INTRA-SESSION drawdowns of the seated P&L sequence; the D-030 law is a $1000 maximum and frac_sessions_dd_over_1000 is the breach rate.
# Weekly rows use ISO weeks; weekly_pnl_p10 is the 10th percentile week -- the user's weekly framing of a bad run.
# precision_at_1000 is the fraction of TAKES paying >= $1000 (the D-021 target), not a model probability.
# takes_per_day_* are per SESSION, i.e. per (asset, trading day) -- the unit the one-position contract applies to -- not per calendar day across the three books.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates
CURRICULUM_WDIVERSE	E3	ALL	390	1182	3.03	3.0	4.0	0.5398	0.1218	108.35	70.0	-930.0	1120.0	383.35	225.0	950.0	0.4222	328.37	930.0	1679.25	2752.5	0.2846	0.4538	27	4743.15	-1440.5	0.1481	4	6460
CURRICULUM_WDIVERSE	E3	SI	130	396	3.05	3.0	4.0	0.5202	0.1591	153.02	20.0	-930.0	1363.75	477.71	287.5	1231.25	0.5177	466.12	930.0	1860.0	2620.0	0.3077	0.5077	27	2244.26	-2035.0	0.2963	7	
CURRICULUM_WDIVERSE	E3	HG	130	392	3.02	3.0	4.0	0.5587	0.1173	98.09	104.38	-930.0	1087.5	379.34	237.5	941.25	0.4388	295.79	923.12	1521.25	2752.5	0.2923	0.4154	27	1424.17	-2623.75	0.3704	4	
CURRICULUM_WDIVERSE	E3	NKD	130	394	3.03	3.0	4.0	0.5406	0.0888	73.65	63.75	-930.0	891.25	292.51	187.5	650.0	0.3096	223.21	436.25	1510.5	2202.5	0.2538	0.4385	27	1074.72	-1612.5	0.3333	5	
CURRICULUM_WDIVERSE	E4	ALL	385	1155	3.0	3.0	3.0	0.6407	0.1359	276.01	182.5	-617.5	1198.75	281.11	137.5	732.5	0.3039	828.04	305.0	967.5	2290.0	0.0857	0.2701	26	12261.3	4712.5	0.0	3	6324
CURRICULUM_WDIVERSE	E4	SI	128	384	3.0	3.0	3.0	0.625	0.1458	317.01	195.0	-930.0	1366.25	409.41	225.0	1075.0	0.4245	951.02	442.5	983.75	2290.0	0.1016	0.2656	26	4681.92	650.0	0.1154	3	
CURRICULUM_WDIVERSE	E4	HG	128	384	3.0	3.0	3.0	0.6562	0.1458	263.34	201.25	-601.25	1160.0	229.85	112.5	635.62	0.2865	790.03	230.0	930.0	2215.0	0.0703	0.2969	26	3889.37	965.62	0.0385	3	
CURRICULUM_WDIVERSE	E4	NKD	129	387	3.0	3.0	3.0	0.6408	0.1163	247.91	170.0	-460.0	1072.5	204.68	125.0	555.0	0.2016	743.72	217.5	981.0	1477.5	0.0853	0.2481	26	3690.0	675.0	0.0769	3	
CURRICULUM_WDIVERSE	E5	ALL	387	1161	3.0	3.0	3.0	0.6873	0.1283	320.11	245.0	-442.5	1145.0	210.1	106.25	575.0	0.2188	960.34	180.0	930.0	2790.0	0.031	0.1731	26	14294.28	7960.0	0.0	2	6108
CURRICULUM_WDIVERSE	E5	SI	129	387	3.0	3.0	3.0	0.6718	0.1395	344.68	270.0	-585.0	1295.0	292.89	150.0	750.0	0.3437	1034.03	180.0	930.0	2790.0	0.0465	0.2171	26	5130.38	512.5	0.0769	6	
CURRICULUM_WDIVERSE	E5	HG	129	387	3.0	3.0	3.0	0.6899	0.0749	246.76	195.0	-276.25	913.75	138.29	68.75	325.0	0.1266	740.28	166.25	581.0	1122.5	0.0078	0.155	26	3672.93	1481.25	0.0	2	
CURRICULUM_WDIVERSE	E5	NKD	129	387	3.0	3.0	3.0	0.7003	0.1705	368.9	295.0	-472.5	1252.5	199.13	100.0	537.5	0.186	1106.71	230.0	955.0	1415.0	0.0388	0.1473	26	5490.96	2537.5	0.0	2	
CURRICULUM_WDIVERSE	E6	ALL	384	1152	3.0	3.0	3.0	0.625	0.1649	291.52	207.5	-930.0	1407.5	334.62	175.0	823.75	0.342	874.57	386.25	1382.75	2265.0	0.1745	0.2943	26	12916.68	5328.12	0.0	3	6264
CURRICULUM_WDIVERSE	E6	SI	128	384	3.0	3.0	3.0	0.5938	0.1927	313.07	220.0	-930.0	1512.5	475.72	250.0	1155.0	0.4609	939.2	728.75	1537.75	2265.0	0.2422	0.3203	26	4623.75	-400.0	0.1154	5	
CURRICULUM_WDIVERSE	E6	HG	128	384	3.0	3.0	3.0	0.651	0.1042	266.79	220.0	-517.5	1020.63	211.69	112.5	554.38	0.2292	800.38	223.12	933.38	2152.5	0.0938	0.2578	26	3940.34	428.13	0.0	3	
CURRICULUM_WDIVERSE	E6	NKD	128	384	3.0	3.0	3.0	0.6302	0.1979	294.71	182.5	-955.0	1617.5	316.47	187.5	712.5	0.3359	884.12	670.0	1330.0	2127.5	0.1875	0.3047	26	4352.6	12.5	0.1154	3	
CURRICULUM_WDIVERSE	E7	ALL	393	1179	3.0	3.0	3.0	0.6938	0.2273	480.01	345.0	-930.0	1757.5	327.09	162.5	837.5	0.352	1440.04	273.75	1346.0	2327.5	0.1425	0.2239	27	20960.6	8012.5	0.0	1	5098
CURRICULUM_WDIVERSE	E7	SI	131	393	3.0	3.0	3.0	0.6743	0.2799	536.48	395.0	-930.0	1977.5	404.23	237.5	985.0	0.4809	1609.43	655.0	1415.0	1977.5	0.1679	0.2443	27	7808.7	3163.5	0.0	2	
CURRICULUM_WDIVERSE	E7	HG	131	393	3.0	3.0	3.0	0.7354	0.112	313.27	288.75	-438.75	1033.75	196.61	112.5	500.0	0.2163	939.82	167.5	930.0	2327.5	0.0687	0.1756	27	4559.86	1635.0	0.0	4	
CURRICULUM_WDIVERSE	E7	NKD	131	393	3.0	3.0	3.0	0.6718	0.2901	590.29	407.5	-955.0	2017.5	380.44	187.5	972.5	0.3588	1770.88	380.0	1347.5	2265.0	0.1908	0.2519	27	8592.04	1755.0	0.0741	5	
