# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE HONEST CAUSAL BASELINE — the table a deployment decision may be taken from, and the replacement for the VOID freeze table.  Every figure is earnable at the arrival second: the decision at arrival j reads only arrivals <= j, one position per (asset, session), the <=10/day cap applied causally, the $900 wall live, the first-wall stop armed.
# SELECTION DISCIPLINE: the (score, policy, knob) triple is chosen on the PREVIOUS ERA — finished history at the start of the eval era — and applied BLIND.  The eval-era argmax is printed beside it ONLY so the selection premium is visible instead of hidden; it is labelled an upper bound and is never a promotion target.
# Capture and aims are against the surviving ORACLE ceilings (full-hindsight DP), which are bounds rather than policies and are untouched by the seating defect.  ARRIVAL_PROPHET.tsv carries the tighter, arrival-time ceiling that splits this gap into its prediction and structure halves.
era	criterion	asset	row	kind	rule	n_seeds	usd_per_session	sd_usd	seats_per_session	oracle_ceiling	capture_of_ceiling	aim_08ceiling	gap_to_aim	gap_to_floor_2000	ceiling_supports_floor	search_adjusted_luck_bar	beats_luck_bar
E5	BINDING	ALL	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.95	1	-16.91	0.0	1.066	2021.0	-0.0084	1616.8	-1633.71	-2016.91	0	47.21	no
E5	BINDING	SI	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.95	1	-34.58	0.0	1.031	2950.41	-0.0117	2360.33	-2394.91	-2034.58	1	47.21	no
E5	BINDING	HG	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.95	1	11.02	0.0	1.091	1929.28	0.0057	1543.43	-1532.4	-1988.98	0	47.21	no
E5	BINDING	NKD	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.95	1	-5.69	0.0	1.101	2868.14	-0.002	2294.51	-2300.2	-2005.69	1	47.21	no
E5	BINDING	ALL	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_TABPFN|TAU_0.99	1	147.52	0.0	1.014	2021.0	0.073	1616.8	-1469.28	-1852.48	0	47.21	YES
E5	BINDING	SI	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_TABPFN|TAU_0.99	1	149.77	0.0	1.03	2950.41	0.0508	2360.33	-2210.55	-1850.23	1	47.21	YES
E5	BINDING	HG	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_TABPFN|TAU_0.99	1	191.88	0.0	1.0	1929.28	0.0995	1543.43	-1351.55	-1808.12	0	47.21	YES
E5	BINDING	NKD	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_TABPFN|TAU_0.99	1	136.53	0.0	1.0	2868.14	0.0476	2294.51	-2157.98	-1863.47	1	47.21	YES
E6	BINDING	ALL	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.99	1	-73.04	0.0	1.022	2675.0	-0.0273	2140.0	-2213.04	-2073.04	1	42.86	no
E6	BINDING	SI	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.99	1	-484.17	0.0	1.0	4189.39	-0.1156	3351.52	-3835.68	-2484.17	1	42.86	no
E6	BINDING	HG	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.99	1	532.5	0.0	1.0	2522.89	0.2111	2018.31	-1485.81	-1467.5	1	42.86	YES
E6	BINDING	NKD	HONEST_PREV_ERA_SELECTED	deployable	S_TABPFN|TAU_0.99	1	350.66	0.0	1.053	3388.52	0.1035	2710.81	-2360.15	-1649.34	1	42.86	YES
E6	BINDING	ALL	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	A_PBAR|SECRETARY_0.5	5	491.53	277.2	1.0	2675.0	0.1838	2140.0	-1648.47	-1508.47	1	42.86	YES
E6	BINDING	SI	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	A_PBAR|SECRETARY_0.5	5	520.53	298.57	1.0	4189.39	0.1242	3351.52	-2830.98	-1479.47	1	42.86	YES
E6	BINDING	HG	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	A_PBAR|SECRETARY_0.5	4	790.31	326.48	1.0	2522.89	0.3133	2018.31	-1228.0	-1209.69	1	42.86	YES
E6	BINDING	NKD	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	A_PBAR|SECRETARY_0.5	3	-671.67	400.69	1.0	3388.52	-0.1982	2710.81	-3382.48	-2671.67	1	42.86	no
E7	BINDING	ALL	HONEST_PREV_ERA_SELECTED	deployable	A_PBAR|SECRETARY_0.5	5	96.5	233.39	1.026	3360.0	0.0287	2688.0	-2591.5	-1903.5	1	73.94	YES
E7	BINDING	SI	HONEST_PREV_ERA_SELECTED	deployable	A_PBAR|SECRETARY_0.5	5	142.44	707.28	1.0	4699.89	0.0303	3759.91	-3617.47	-1857.56	1	73.94	YES
E7	BINDING	HG	HONEST_PREV_ERA_SELECTED	deployable	A_PBAR|SECRETARY_0.5	3	212.71	297.44	1.0	2605.32	0.0816	2084.26	-1871.55	-1787.29	1	73.94	YES
E7	BINDING	NKD	HONEST_PREV_ERA_SELECTED	deployable	A_PBAR|SECRETARY_0.5	5	60.8	41.92	1.042	4950.55	0.0123	3960.44	-3899.64	-1939.2	1	73.94	no
E7	BINDING	ALL	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_XGB|DAYSOFAR_0.9	5	101.77	11.19	1.762	3360.0	0.0303	2688.0	-2586.23	-1898.23	1	73.94	YES
E7	BINDING	SI	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_XGB|DAYSOFAR_0.9	5	186.28	26.94	1.763	4699.89	0.0396	3759.91	-3573.63	-1813.72	1	73.94	YES
E7	BINDING	HG	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_XGB|DAYSOFAR_0.9	5	30.19	13.08	1.948	2605.32	0.0116	2084.26	-2054.07	-1969.81	1	73.94	no
E7	BINDING	NKD	UPPER_BOUND_OWN_ERA_ARGMAX	SELECTION-PREMIUM UPPER BOUND	S_XGB|DAYSOFAR_0.9	5	88.85	26.65	1.574	4950.55	0.0179	3960.44	-3871.6	-1911.15	1	73.94	YES
