# PORT_M1B_SPEC.md S3 parity gate (design/PORT_M1B_S3_CONV.md)
asset	date8	stratum	n_candidates	verdict	detail
HG	20210222	ROLL_DAY	1282	OK	
HG	20210223	ROLL_DAY	914	OK	
HG	20210531	SHORT_SESSION	234	OK	
HG	20210712	PLAIN_2021	293	OK	
HG	20211125	SHORT_SESSION	186	OK	
HG	20220704	PLAIN_2022	343	OK	
HG	20241127	GAP_OPEN	296	OK	
HG	20251226	GAP_OPEN	1116	OK	
NKD	20210308	ROLL_DAY	691	OK	
NKD	20210309	ROLL_DAY	420	OK	
NKD	20210712	PLAIN_2021	309	OK	
NKD	20220221	SHORT_SESSION	482	OK	
NKD	20220704	PLAIN_2022	247	OK	
NKD	20230310	GAP_OPEN	602	OK	
NKD	20251006	GAP_OPEN	1432	OK	
NKD	20251128	SHORT_SESSION	84	OK	
SI	20210616	ROLL_DAY	559	OK	
SI	20210617	ROLL_DAY	671	OK	
SI	20210705	SHORT_SESSION	191	OK	
SI	20210906	SHORT_SESSION	154	OK	
SI	20210923	PLAIN_2021	387	OK	
SI	20220704	PLAIN_2022	252	OK	
SI	20240829	GAP_OPEN	334	OK	
SI	20250828	GAP_OPEN	378	OK	
